"Cell line","TCGA classification",Tissue,"Tissue sub-type",IC50,AUC
BC-1,DLBC,blood,B_cell_lymphoma,6.667094,0.864596
NB5,NB,nervous_system,neuroblastoma,8.612605,0.865661
NCI-H661,UNCLASSIFIED,lung,lung_NSCLC_large_cell,12.513975,0.866805
KYSE-270,ESCA,aero_digestive_tract,oesophagus,7.514217,0.867294
Ca-Ski,CESC,urogenital_system,cervix,11.243828,0.867610
OSC-20,HNSC,aero_digestive_tract,head_and_neck,11.722929,0.867956
HARA,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,11.599671,0.868255
NCI-H2291,LUAD,lung,lung_NSCLC_adenocarcinoma,17.595691,0.869077
MDA-MB-468,BRCA,breast,breast,7.940790,0.869660
JIMT-1,BRCA,breast,breast,10.464810,0.871008
HPAF-II,PAAD,pancreas,pancreas,18.227986,0.871632
NB7,NB,nervous_system,neuroblastoma,10.400610,0.873247
ES4,UNCLASSIFIED,bone,ewings_sarcoma,12.235230,0.873254
OACp4C,ESCA,aero_digestive_tract,oesophagus,12.058213,0.874305
HuCCT1,UNCLASSIFIED,digestive_system,biliary_tract,10.489126,0.874390
ES3,UNCLASSIFIED,bone,ewings_sarcoma,9.939962,0.874471
MKN7,STAD,digestive_system,stomach,16.580899,0.874962
5637,BLCA,urogenital_system,bladder,8.270950,0.876101
A204,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,17.401517,0.876197
MZ1-PC,PAAD,pancreas,pancreas,13.155463,0.876550
NY,UNCLASSIFIED,bone,osteosarcoma,12.846392,0.877336
RCC-FG2,KIRC,kidney,kidney,14.619407,0.877378
MDA-MB-453,BRCA,breast,breast,10.867873,0.877974
SKN,UNCLASSIFIED,urogenital_system,uterus,12.801922,0.879210
TE-10,ESCA,aero_digestive_tract,oesophagus,11.253819,0.879468
SNU-449,LIHC,digestive_system,liver,12.655055,0.879643
TOV-21G,OV,urogenital_system,ovary,12.229518,0.879705
SH-4,SKCM,skin,melanoma,19.817991,0.879781
CAL-54,KIRC,kidney,kidney,12.669037,0.880104
HT-1376,BLCA,urogenital_system,bladder,14.294077,0.880372
PCI-15A,HNSC,aero_digestive_tract,head_and_neck,10.193129,0.881668
SF295,GBM,nervous_system,glioma,11.297511,0.882921
NCI-H2591,MESO,lung,mesothelioma,18.550358,0.885040
U031,KIRC,kidney,kidney,11.669119,0.885351
SK-GT-4,ESCA,aero_digestive_tract,oesophagus,16.057322,0.885392
LS-123,COREAD,digestive_system,large_intestine,22.404816,0.885792
LoVo,COREAD,digestive_system,large_intestine,12.807189,0.886382
FLO-1,ESCA,aero_digestive_tract,oesophagus,23.489710,0.886652
PANC-03-27,PAAD,pancreas,pancreas,10.492996,0.887577
EW-16,UNCLASSIFIED,bone,ewings_sarcoma,11.986491,0.887583
EW-11,UNCLASSIFIED,bone,ewings_sarcoma,19.563173,0.887870
PEO1,OV,urogenital_system,ovary,12.553160,0.888072
SW780,BLCA,urogenital_system,bladder,13.251782,0.888085
FTC-133,THCA,thyroid,thyroid,12.184854,0.888192
RL95-2,UNCLASSIFIED,urogenital_system,endometrium,11.726813,0.888707
SK-OV-3,OV,urogenital_system,ovary,19.264428,0.890124
OE33,ESCA,aero_digestive_tract,oesophagus,16.757400,0.890518
SU-DHL-5,DLBC,blood,B_cell_lymphoma,6.979555,0.890672
EW-3,UNCLASSIFIED,bone,ewings_sarcoma,16.261641,0.891540
EBC-1,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,16.496670,0.891606
KM12,COREAD,digestive_system,large_intestine,15.180754,0.892181
KS-1,GBM,nervous_system,glioma,20.708711,0.892208
A431,UNCLASSIFIED,skin,skin_other,10.429810,0.893865
HCC2157,BRCA,breast,breast,13.712622,0.894602
MKN1,UNCLASSIFIED,digestive_system,stomach,14.079220,0.895720
SN12C,KIRC,kidney,kidney,17.634283,0.896588
KP-2,PAAD,pancreas,pancreas,14.477623,0.896998
KASUMI-1,LAML,blood,acute_myeloid_leukaemia,14.198566,0.897475
HuP-T4,PAAD,pancreas,pancreas,14.902460,0.897497
TE-11,ESCA,aero_digestive_tract,oesophagus,11.506814,0.897584
NCI-H2110,UNCLASSIFIED,lung,lung_NSCLC_not_specified,13.829233,0.897855
CCK-81,COREAD,digestive_system,large_intestine,13.435885,0.898154
PANC-10-05,PAAD,pancreas,pancreas,19.262955,0.898433
NCI-H2342,LUAD,lung,lung_NSCLC_adenocarcinoma,15.609822,0.898575
OVCA433,OV,urogenital_system,ovary,14.695603,0.898820
CTB-1,DLBC,blood,B_cell_lymphoma,27.468991,0.899199
NTERA-2-cl-D1,UNCLASSIFIED,urogenital_system,testis,12.311492,0.901941
NKM-1,LAML,blood,acute_myeloid_leukaemia,18.218559,0.901988
JHOS-3,OV,urogenital_system,ovary,22.782716,0.902122
BT-20,BRCA,breast,breast,19.078739,0.903223
SKM-1,UNCLASSIFIED,blood,haematopoietic_neoplasm_other,18.694718,0.904217
RCC-JW,KIRC,kidney,kidney,14.578991,0.904258
OV-7,OV,urogenital_system,ovary,29.407865,0.904515
COR-L32,SCLC,lung,lung_small_cell_carcinoma,75.406487,0.904954
SNU-1040,COREAD,digestive_system,large_intestine,25.688303,0.905290
MOG-G-UVW,LGG,nervous_system,glioma,13.295318,0.905334
EGI-1,UNCLASSIFIED,digestive_system,biliary_tract,22.220684,0.905974
HT-115,COREAD,digestive_system,large_intestine,13.736004,0.906141
YH-13,GBM,nervous_system,glioma,14.599247,0.906212
HA7-RCC,KIRC,kidney,kidney,19.124879,0.906632
ABC-1,LUAD,lung,lung_NSCLC_adenocarcinoma,21.113057,0.907496
KP-3,UNCLASSIFIED,pancreas,pancreas,22.839612,0.908357
BFTC-909,KIRC,kidney,kidney,15.926874,0.908746
RXF393,KIRC,kidney,kidney,36.060845,0.909646
NCI-H1563,LUAD,lung,lung_NSCLC_adenocarcinoma,22.060392,0.909998
OV-90,OV,urogenital_system,ovary,26.669588,0.910602
CHSA0011,UNCLASSIFIED,bone,chondrosarcoma,35.308469,0.910676
OVCAR-5,OV,urogenital_system,ovary,24.012391,0.910723
SNU-C1,COREAD,digestive_system,large_intestine,59.520962,0.910823
KON,HNSC,aero_digestive_tract,head_and_neck,13.589101,0.911146
RCM-1,COREAD,digestive_system,large_intestine,25.012901,0.911688
GR-ST,ALL,blood,lymphoblastic_leukemia,30.294013,0.912094
NCI-H446,SCLC,lung,lung_small_cell_carcinoma,16.682705,0.912131
NCI-H1869,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,21.803096,0.912354
HCC-78,LUAD,lung,lung_NSCLC_adenocarcinoma,22.433553,0.912695
COLO-824,BRCA,breast,breast,18.320584,0.912837
OAW-28,OV,urogenital_system,ovary,25.921998,0.912976
SNU-182,LIHC,digestive_system,liver,16.629466,0.913110
HDQ-P1,BRCA,breast,breast,23.630992,0.913565
NCI-H727,UNCLASSIFIED,lung,lung_NSCLC_carcinoid,39.803666,0.913914
CHSA8926,UNCLASSIFIED,bone,chondrosarcoma,27.246288,0.913919
MOLM-16,LAML,blood,acute_myeloid_leukaemia,12.750586,0.913982
RVH-421,SKCM,skin,melanoma,32.913398,0.914627
NCI-H1793,LUAD,lung,lung_NSCLC_adenocarcinoma,46.966986,0.915483
DMS-114,SCLC,lung,lung_small_cell_carcinoma,21.900176,0.916838
SW900,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,20.550813,0.916986
MONO-MAC-6,LAML,blood,acute_myeloid_leukaemia,22.605411,0.917011
JVM-2,CLL,blood,lymphoid_neoplasm_other,48.358348,0.917152
HCC-15,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,27.166346,0.917740
PANC-08-13,PAAD,pancreas,pancreas,28.844622,0.918583
Hey,OV,urogenital_system,ovary,14.685407,0.918811
HCC1143,BRCA,breast,breast,38.670215,0.918947
LC-1-sq,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,23.909562,0.918967
SK-MEL-24,SKCM,skin,melanoma,27.712319,0.919196
NCC010,KIRC,kidney,kidney,20.368453,0.919249
PCI-38,HNSC,aero_digestive_tract,head_and_neck,18.811030,0.919408
CAL-120,BRCA,breast,breast,30.801165,0.919449
MDA-MB-436,BRCA,breast,breast,35.340925,0.920543
PL-21,LAML,blood,acute_myeloid_leukaemia,30.217977,0.921013
NCI-H2722,MESO,lung,mesothelioma,28.465846,0.921076
OC-314,OV,urogenital_system,ovary,14.844894,0.921135
NCI-H1436,SCLC,lung,lung_small_cell_carcinoma,26.957181,0.921988
MPP-89,MESO,lung,mesothelioma,32.588773,0.922115
NCI-H209,SCLC,lung,lung_small_cell_carcinoma,25.825184,0.922151
SKG-IIIa,CESC,urogenital_system,cervix,31.380310,0.922318
DG-75,UNCLASSIFIED,blood,Burkitt_lymphoma,20.152703,0.922372
G-401,UNCLASSIFIED,kidney,kidney,22.811403,0.922486
OV-17R,OV,urogenital_system,ovary,47.315784,0.922711
PL4,PAAD,pancreas,pancreas,23.058463,0.923061
LS-180,COREAD,digestive_system,large_intestine,35.824616,0.923597
TE-5,ESCA,aero_digestive_tract,oesophagus,23.139253,0.924197
BE-13,ALL,blood,lymphoblastic_leukemia,19.086928,0.924632
RPMI-8866,LCML,blood,chronic_myeloid_leukaemia,16.712258,0.924847
NCI-H1838,LUAD,lung,lung_NSCLC_adenocarcinoma,45.022155,0.925685
D-566MG,GBM,nervous_system,glioma,16.302842,0.925964
FU-OV-1,OV,urogenital_system,ovary,35.260151,0.926610
TMK-1,STAD,digestive_system,stomach,28.291602,0.926937
EFO-27,UNCLASSIFIED,urogenital_system,ovary,35.613537,0.927026
NCI-H1944,LUAD,lung,lung_NSCLC_adenocarcinoma,22.652976,0.927151
647-V,BLCA,urogenital_system,bladder,21.781352,0.927302
EoL-1-cell,UNCLASSIFIED,blood,haematopoietic_neoplasm_other,17.221344,0.927438
NCI-H322M,LUAD,lung,lung_NSCLC_adenocarcinoma,52.268424,0.927452
TC-71,UNCLASSIFIED,bone,ewings_sarcoma,15.821424,0.927627
LCLC-97TM1,UNCLASSIFIED,lung,lung_NSCLC_large_cell,22.966042,0.927719
HOS,UNCLASSIFIED,bone,osteosarcoma,16.913173,0.927795
KYSE-50,ESCA,aero_digestive_tract,oesophagus,17.888840,0.928853
CPC-N,SCLC,lung,lung_small_cell_carcinoma,25.874413,0.929071
SNB75,GBM,nervous_system,glioma,45.322610,0.929803
OAW-42,OV,urogenital_system,ovary,26.641304,0.929841
MZ2-MEL,SKCM,skin,melanoma,29.977892,0.930074
Calu-6,LUAD,lung,lung_NSCLC_adenocarcinoma,28.905022,0.930621
TUR,DLBC,blood,B_cell_lymphoma,17.768834,0.930940
KLE,UCEC,urogenital_system,endometrium,62.715516,0.931360
DJM-1,UNCLASSIFIED,skin,skin_other,20.927469,0.931550
HCC1806,UNCLASSIFIED,breast,breast,17.717271,0.931913
BFTC-905,BLCA,urogenital_system,bladder,17.000915,0.932075
REH,UNCLASSIFIED,blood,B_cell_leukemia,18.639807,0.932449
NCI-H2452,MESO,lung,mesothelioma,32.496414,0.932692
D-336MG,LGG,nervous_system,glioma,31.340382,0.932716
BT-549,BRCA,breast,breast,49.269336,0.933059
GI-ME-N,NB,nervous_system,neuroblastoma,41.463108,0.933381
EFO-21,OV,urogenital_system,ovary,52.552914,0.933462
TC-YIK,UNCLASSIFIED,urogenital_system,cervix,13.957330,0.933603
U-698-M,UNCLASSIFIED,blood,B_cell_leukemia,28.875650,0.933922
A253,UNCLASSIFIED,aero_digestive_tract,head_and_neck,24.664202,0.933963
LXF-289,LUAD,lung,lung_NSCLC_adenocarcinoma,22.935839,0.934051
NCI-H2023,LUAD,lung,lung_NSCLC_adenocarcinoma,33.730908,0.934411
IMR-5,NB,nervous_system,neuroblastoma,16.458001,0.934443
COLO-829,SKCM,skin,melanoma,54.330299,0.934591
LB771-HNC,HNSC,aero_digestive_tract,head_and_neck,33.895388,0.934634
H9,UNCLASSIFIED,blood,lymphoid_neoplasm_other,19.290389,0.935030
MOLT-16,ALL,blood,lymphoblastic_T_cell_leukaemia,12.399219,0.935043
NCI-H2347,LUAD,lung,lung_NSCLC_adenocarcinoma,35.206042,0.935362
KURAMOCHI,UNCLASSIFIED,urogenital_system,ovary,37.936704,0.936189
SK-MEL-5,SKCM,skin,melanoma,38.173297,0.936406
OVCAR-8,OV,urogenital_system,ovary,20.243054,0.936708
MHH-PREB-1,UNCLASSIFIED,blood,B_cell_leukemia,18.048356,0.936828
SR,UNCLASSIFIED,blood,lymphoid_neoplasm_other,17.718537,0.937428
SW1417,COREAD,digestive_system,large_intestine,39.032079,0.937991
KGN,UNCLASSIFIED,urogenital_system,ovary,35.393625,0.938278
Saos-2,UNCLASSIFIED,bone,osteosarcoma,55.513110,0.938323
SW1088,GBM,nervous_system,glioma,44.638230,0.938656
EMC-BAC-2,LUAD,lung,lung_NSCLC_adenocarcinoma,31.844855,0.938788
SW1710,BLCA,urogenital_system,bladder,26.543463,0.939155
EFM-19,BRCA,breast,breast,68.503154,0.939212
SW1573,LUAD,lung,lung_NSCLC_adenocarcinoma,50.468030,0.939627
KMOE-2,LAML,blood,acute_myeloid_leukaemia,21.425447,0.939720
ATN-1,ALL,blood,lymphoblastic_T_cell_leukaemia,23.346378,0.939827
NCI-H841,SCLC,lung,lung_small_cell_carcinoma,24.336460,0.940448
NCI-H596,UNCLASSIFIED,lung,lung_NSCLC_adenocarcinoma,50.452512,0.940652
Mo-T,UNCLASSIFIED,blood,hairy_cell_leukaemia,37.624540,0.941035
MDST8,COREAD,digestive_system,large_intestine,25.745365,0.941137
no-10,LGG,nervous_system,glioma,40.837949,0.941396
ES1,UNCLASSIFIED,bone,ewings_sarcoma,33.175132,0.941537
HOP-92,UNCLASSIFIED,lung,lung_NSCLC_large_cell,50.064803,0.941945
PA-TU-8988T,PAAD,pancreas,pancreas,27.120739,0.941996
HO-1-u-1,HNSC,aero_digestive_tract,head_and_neck,19.867305,0.942346
CML-T1,LCML,blood,chronic_myeloid_leukaemia,21.045037,0.942349
EM-2,LCML,blood,chronic_myeloid_leukaemia,41.060578,0.942640
ALL-SIL,ALL,blood,T_cell_leukemia,16.673255,0.942903
G-292-Clone-A141B1,UNCLASSIFIED,bone,osteosarcoma,115.249065,0.943013
MOLT-13,ALL,blood,lymphoblastic_T_cell_leukaemia,21.625568,0.943738
OVCAR-3,OV,urogenital_system,ovary,37.999844,0.944141
RERF-LC-MS,LUAD,lung,lung_NSCLC_adenocarcinoma,34.535366,0.944212
SISO,CESC,urogenital_system,cervix,24.778216,0.944251
SNU-61,COREAD,digestive_system,large_intestine,82.360633,0.945009
SNU-407,COREAD,digestive_system,large_intestine,43.580181,0.945207
Caov-4,OV,urogenital_system,ovary,71.541915,0.945353
HTC-C3,THCA,thyroid,thyroid,39.614752,0.945518
COLO-800,SKCM,skin,melanoma,24.962028,0.945531
EW-22,UNCLASSIFIED,bone,ewings_sarcoma,22.764756,0.946524
COLO-679,SKCM,skin,melanoma,41.872814,0.946843
OMC-1,CESC,urogenital_system,cervix,33.143099,0.946910
RL,DLBC,blood,B_cell_lymphoma,26.089884,0.947034
LN-229,GBM,nervous_system,glioma,35.035967,0.947052
Mewo,SKCM,skin,melanoma,55.427457,0.947449
UACC-257,SKCM,skin,melanoma,43.872164,0.947533
CAL-78,UNCLASSIFIED,bone,chondrosarcoma,35.350539,0.947641
RD,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,39.831141,0.948172
DK-MG,GBM,nervous_system,glioma,77.428021,0.948210
GB-1,GBM,nervous_system,glioma,41.424794,0.948325
CMK,LAML,blood,acute_myeloid_leukaemia,16.871534,0.948733
OCI-LY-19,DLBC,blood,B_cell_lymphoma,21.831707,0.949031
NCI-H1770,UNCLASSIFIED,lung,lung_NSCLC_not_specified,28.370019,0.949201
G-402,UNCLASSIFIED,soft_tissue,soft_tissue_other,65.641388,0.949260
SNU-423,LIHC,digestive_system,liver,38.881307,0.949392
