"Cell line","TCGA classification",Tissue,"Tissue sub-type",IC50,AUC
RXF393,KIRC,kidney,kidney,0.885077,0.632532
KURAMOCHI,UNCLASSIFIED,urogenital_system,ovary,0.809330,0.633329
TGBC24TKB,UNCLASSIFIED,digestive_system,biliary_tract,0.769439,0.637248
SH-4,SKCM,skin,melanoma,0.914246,0.639360
LXF-289,LUAD,lung,lung_NSCLC_adenocarcinoma,0.783007,0.639797
KS-1,GBM,nervous_system,glioma,0.884951,0.639918
BB30-HNC,HNSC,aero_digestive_tract,head_and_neck,0.836702,0.650327
BL-41,UNCLASSIFIED,blood,Burkitt_lymphoma,0.760602,0.654049
ES6,UNCLASSIFIED,bone,ewings_sarcoma,0.954787,0.655619
KCL-22,LCML,blood,chronic_myeloid_leukaemia,0.821119,0.660037
MFH-ino,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.976766,0.660387
IST-MES1,MESO,lung,mesothelioma,1.014076,0.674242
Daudi,UNCLASSIFIED,blood,Burkitt_lymphoma,0.982846,0.682904
KLE,UCEC,urogenital_system,endometrium,1.395597,0.685473
TE-1,ESCA,aero_digestive_tract,oesophagus,1.231995,0.688797
no-10,LGG,nervous_system,glioma,1.266364,0.695292
PSN1,PAAD,pancreas,pancreas,1.028708,0.695538
SW954,UNCLASSIFIED,urogenital_system,urogenital_system_other,1.113508,0.696153
HA7-RCC,KIRC,kidney,kidney,1.261626,0.698626
A704,KIRC,kidney,kidney,1.114228,0.698635
WIL2-NS,UNCLASSIFIED,blood,lymphoid_neoplasm_other,1.086485,0.708355
HCE-4,ESCA,aero_digestive_tract,oesophagus,1.220345,0.715209
TE-11,ESCA,aero_digestive_tract,oesophagus,1.326461,0.723805
HDLM-2,UNCLASSIFIED,blood,Hodgkin_lymphoma,1.408420,0.723917
NALM-6,UNCLASSIFIED,blood,B_cell_leukemia,1.218201,0.724120
TE-10,ESCA,aero_digestive_tract,oesophagus,1.472148,0.727589
NAMALWA,UNCLASSIFIED,blood,Burkitt_lymphoma,1.262754,0.730003
HuTu-80,UNCLASSIFIED,digestive_system,digestive_system_other,1.262601,0.731429
KALS-1,LGG,nervous_system,glioma,2.089115,0.734442
EHEB,CLL,blood,lymphoid_neoplasm_other,2.445277,0.756806
NCI-H747,COREAD,digestive_system,large_intestine,2.221617,0.757671
SU-DHL-8,DLBC,blood,B_cell_lymphoma,1.706991,0.764090
LP-1,MM,blood,myeloma,1.580945,0.765227
A101D,SKCM,skin,melanoma,2.551532,0.770282
TGBC1TKB,UNCLASSIFIED,digestive_system,biliary_tract,2.016057,0.773660
GCIY,STAD,digestive_system,stomach,2.241217,0.773767
SLVL,DLBC,blood,B_cell_lymphoma,2.093545,0.774080
MHH-PREB-1,UNCLASSIFIED,blood,B_cell_leukemia,1.847784,0.775578
NEC8,UNCLASSIFIED,urogenital_system,testis,1.742349,0.776462
GI-1,LGG,nervous_system,glioma,1.904246,0.777266
QIMR-WIL,LAML,blood,acute_myeloid_leukaemia,2.091886,0.778127
HC-1,UNCLASSIFIED,blood,hairy_cell_leukaemia,2.055096,0.780764
KP-N-YS,NB,nervous_system,neuroblastoma,2.396389,0.784625
697,UNCLASSIFIED,blood,lymphoblastic_leukemia,1.826673,0.785682
Becker,GBM,nervous_system,glioma,2.467154,0.786063
NCI-H1436,SCLC,lung,lung_small_cell_carcinoma,2.656735,0.786128
NK-92MI,UNCLASSIFIED,blood,lymphoid_neoplasm_other,1.976672,0.786847
A388,UNCLASSIFIED,skin,skin_other,2.760758,0.788973
P32-ISH,UNCLASSIFIED,blood,Burkitt_lymphoma,1.724786,0.793683
MC-CAR,MM,blood,haematopoietic_neoplasm_other,2.097720,0.795985
MC116,DLBC,blood,B_cell_lymphoma,1.693657,0.797630
HCC2218,BRCA,breast,breast,3.886484,0.798357
KU812,LCML,blood,chronic_myeloid_leukaemia,2.353460,0.800020
EW-16,UNCLASSIFIED,bone,ewings_sarcoma,2.586328,0.801294
KINGS-1,LGG,nervous_system,glioma,3.622409,0.801922
LOXIMVI,SKCM,skin,melanoma,2.522657,0.802255
HD-MY-Z,UNCLASSIFIED,blood,Hodgkin_lymphoma,2.483706,0.804657
C2BBe1,COREAD,digestive_system,large_intestine,3.157756,0.805683
LS-123,COREAD,digestive_system,large_intestine,4.155059,0.806771
LB647-SCLC,SCLC,lung,lung_small_cell_carcinoma,3.423039,0.811452
NCI-H510A,SCLC,lung,lung_small_cell_carcinoma,3.012123,0.815737
IMR-5,NB,nervous_system,neuroblastoma,2.456167,0.816098
SF268,GBM,nervous_system,glioma,3.125000,0.816326
RKO,COREAD,digestive_system,large_intestine,2.654817,0.818524
SNU-C2B,COREAD,digestive_system,large_intestine,4.337857,0.819078
NB69,NB,nervous_system,neuroblastoma,2.578265,0.820014
KY821,LAML,blood,leukemia,2.788373,0.820578
JiyoyeP-2003,UNCLASSIFIED,blood,Burkitt_lymphoma,2.517860,0.823002
NB4,LAML,blood,acute_myeloid_leukaemia,2.337597,0.824875
HT-144,SKCM,skin,melanoma,3.853318,0.825103
Ramos-2G6-4C10,UNCLASSIFIED,blood,Burkitt_lymphoma,2.650071,0.826988
NCI-H720,UNCLASSIFIED,lung,lung_NSCLC_carcinoid,3.695128,0.828688
KARPAS-45,ALL,blood,lymphoblastic_leukemia,2.586292,0.830098
NCI-H211,SCLC,lung,lung_small_cell_carcinoma,3.231983,0.830988
EoL-1-cell,UNCLASSIFIED,blood,haematopoietic_neoplasm_other,3.011700,0.831390
8-MG-BA,GBM,nervous_system,glioma,2.947348,0.832078
EB-3,UNCLASSIFIED,blood,Burkitt_lymphoma,4.054514,0.834787
CTB-1,DLBC,blood,B_cell_lymphoma,5.784559,0.836862
RPMI-6666,UNCLASSIFIED,blood,Hodgkin_lymphoma,4.643633,0.838052
BB65-RCC,KIRC,kidney,kidney,4.865369,0.842557
RF-48,STAD,digestive_system,stomach,4.859498,0.844308
TALL-1,ALL,blood,lymphoblastic_T_cell_leukaemia,3.555523,0.849228
DU-4475,BRCA,breast,breast,3.139636,0.849330
ARH-77,MM,blood,myeloma,3.612092,0.850864
HH,UNCLASSIFIED,blood,T_cell_leukemia,6.351501,0.851940
LB771-HNC,HNSC,aero_digestive_tract,head_and_neck,5.236943,0.854867
BE-13,ALL,blood,lymphoblastic_leukemia,4.167907,0.856607
MPP-89,MESO,lung,mesothelioma,6.361833,0.859233
OCUB-M,BRCA,breast,breast,3.437918,0.859538
MV-4-11,UNCLASSIFIED,blood,leukemia,3.613206,0.861181
NCI-H1355,LUAD,lung,lung_NSCLC_adenocarcinoma,7.519520,0.862251
SR,UNCLASSIFIED,blood,lymphoid_neoplasm_other,3.703245,0.862627
ES8,UNCLASSIFIED,bone,ewings_sarcoma,4.130814,0.863942
COLO-829,SKCM,skin,melanoma,8.004359,0.864489
KARPAS-620,MM,blood,haematopoietic_neoplasm_other,3.577417,0.864693
TGW,NB,nervous_system,neuroblastoma,3.557766,0.865483
KOPN-8,UNCLASSIFIED,blood,B_cell_leukemia,3.457163,0.865766
D-247MG,GBM,nervous_system,glioma,7.024657,0.866389
RCC10RGB,KIRC,kidney,kidney,15.229877,0.867346
Hs-445,UNCLASSIFIED,blood,Hodgkin_lymphoma,4.039885,0.867819
SF126,GBM,nervous_system,glioma,5.209328,0.870937
MMAc-SF,SKCM,skin,melanoma,5.710282,0.872662
MOLT-13,ALL,blood,lymphoblastic_T_cell_leukaemia,4.375388,0.874250
IST-SL2,SCLC,lung,lung_small_cell_carcinoma,5.987460,0.875047
SCC-15,HNSC,aero_digestive_tract,head_and_neck,7.695937,0.876477
IA-LM,UNCLASSIFIED,lung,lung_NSCLC_large_cell,6.942868,0.877446
PF-382,ALL,blood,lymphoblastic_T_cell_leukaemia,4.423654,0.878093
EKVX,LUAD,lung,lung_NSCLC_adenocarcinoma,19.561426,0.878733
SIMA,NB,nervous_system,neuroblastoma,6.098251,0.878976
SW962,UNCLASSIFIED,urogenital_system,urogenital_system_other,6.801568,0.879144
GOTO,NB,nervous_system,neuroblastoma,7.294017,0.880881
SK-LMS-1,UNCLASSIFIED,soft_tissue,soft_tissue_other,5.081698,0.881667
TE-441-T,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,5.133483,0.881734
K5,THCA,thyroid,thyroid,5.150005,0.882339
KARPAS-299,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,4.465371,0.882538
LC4-1,ALL,blood,lymphoblastic_leukemia,7.535930,0.887511
NTERA-2-cl-D1,UNCLASSIFIED,urogenital_system,testis,5.316091,0.887661
NCI-H446,SCLC,lung,lung_small_cell_carcinoma,6.371664,0.890501
MZ2-MEL,SKCM,skin,melanoma,8.055262,0.890842
SW684,UNCLASSIFIED,soft_tissue,fibrosarcoma,13.090117,0.892171
LB2241-RCC,KIRC,kidney,kidney,7.691062,0.893498
LB373-MEL-D,SKCM,skin,melanoma,7.274482,0.895777
SHP-77,SCLC,lung,lung_small_cell_carcinoma,5.043146,0.896702
NCI-H1869,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,8.946816,0.898107
D-263MG,GBM,nervous_system,glioma,8.949380,0.900024
MOLM-13,LAML,blood,acute_myeloid_leukaemia,7.614148,0.901473
COR-L95,SCLC,lung,lung_small_cell_carcinoma,8.605942,0.901756
SIG-M5,LAML,blood,acute_myeloid_leukaemia,3.681383,0.901839
LS-1034,COREAD,digestive_system,large_intestine,8.824671,0.902276
SNU-1,STAD,digestive_system,stomach,11.155988,0.903192
MS-1,SCLC,lung,lung_small_cell_carcinoma,6.086513,0.904759
TE-6,ESCA,aero_digestive_tract,oesophagus,11.000507,0.905395
MOLT-4,ALL,blood,lymphoblastic_leukemia,5.025588,0.905790
ALL-PO,ALL,blood,lymphoblastic_leukemia,8.459194,0.906287
BB49-HNC,HNSC,aero_digestive_tract,head_and_neck,13.677527,0.907523
HAL-01,ALL,blood,lymphoblastic_leukemia,8.544676,0.908360
CP67-MEL,SKCM,skin,melanoma,26.387722,0.908899
EVSA-T,BRCA,breast,breast,6.277238,0.908999
KNS-42,LGG,nervous_system,glioma,10.371986,0.909218
NCI-H322M,LUAD,lung,lung_NSCLC_adenocarcinoma,19.712285,0.913297
CA46,UNCLASSIFIED,blood,Burkitt_lymphoma,9.850486,0.915764
JVM-2,CLL,blood,lymphoid_neoplasm_other,25.035042,0.917659
MRK-nu-1,BRCA,breast,breast,11.007375,0.919382
RPMI-8402,ALL,blood,lymphoblastic_T_cell_leukaemia,5.701885,0.919410
TE-9,ESCA,aero_digestive_tract,oesophagus,10.506573,0.920308
OCI-AML2,LAML,blood,acute_myeloid_leukaemia,4.690879,0.920749
RPMI-8866,LCML,blood,chronic_myeloid_leukaemia,8.063338,0.920881
no-11,LGG,nervous_system,glioma,16.730209,0.920946
KARPAS-422,DLBC,blood,B_cell_lymphoma,12.437677,0.921361
VA-ES-BJ,UNCLASSIFIED,soft_tissue,soft_tissue_other,10.150553,0.922529
NOMO-1,LAML,blood,acute_myeloid_leukaemia,15.176509,0.926350
ML-2,LAML,blood,acute_myeloid_leukaemia,7.993697,0.926421
H9,UNCLASSIFIED,blood,lymphoid_neoplasm_other,8.651672,0.926856
BT-474,BRCA,breast,breast,15.823115,0.929351
DG-75,UNCLASSIFIED,blood,Burkitt_lymphoma,11.800343,0.930170
CAS-1,GBM,nervous_system,glioma,21.988833,0.930507
HL-60,LAML,blood,acute_myeloid_leukaemia,9.453115,0.930765
NCI-H345,SCLC,lung,lung_small_cell_carcinoma,18.893283,0.931699
SK-UT-1,UNCLASSIFIED,soft_tissue,soft_tissue_other,9.892325,0.932179
TE-5,ESCA,aero_digestive_tract,oesophagus,13.883015,0.932790
KP-N-RT-BM-1,NB,nervous_system,neuroblastoma,21.849852,0.934127
COLO-320-HSR,COREAD,digestive_system,large_intestine,9.746342,0.934676
HT,DLBC,blood,B_cell_lymphoma,10.158908,0.934732
NB5,NB,nervous_system,neuroblastoma,10.974822,0.934793
KP-N-YN,NB,nervous_system,neuroblastoma,21.586786,0.934904
SK-N-DZ,NB,nervous_system,neuroblastoma,17.535460,0.935638
LS-411N,COREAD,digestive_system,large_intestine,19.936041,0.936510
LU-65,UNCLASSIFIED,lung,lung_NSCLC_large_cell,27.522403,0.936524
NCI-H2141,SCLC,lung,lung_small_cell_carcinoma,11.079485,0.936691
MZ7-mel,SKCM,skin,melanoma,13.970270,0.937099
ST486,UNCLASSIFIED,blood,Burkitt_lymphoma,10.264556,0.938205
DEL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,7.255466,0.939323
REH,UNCLASSIFIED,blood,B_cell_leukemia,10.757120,0.939375
CCRF-CEM,ALL,blood,lymphoblastic_leukemia,10.896043,0.939955
SJSA-1,UNCLASSIFIED,bone,bone_other,21.050192,0.940584
NCI-H128,SCLC,lung,lung_small_cell_carcinoma,46.688079,0.941228
U-87-MG,GBM,nervous_system,glioma,23.842333,0.941796
Raji,UNCLASSIFIED,blood,Burkitt_lymphoma,11.621811,0.943193
OCI-AML5,LAML,blood,acute_myeloid_leukaemia,10.323432,0.943815
NB17,NB,nervous_system,neuroblastoma,23.783503,0.944772
NB(TU)1-10,NB,nervous_system,neuroblastoma,11.513481,0.945112
Calu-6,LUAD,lung,lung_NSCLC_adenocarcinoma,20.595759,0.945796
GDM-1,LAML,blood,acute_myeloid_leukaemia,20.242069,0.947393
MHH-NB-11,NB,nervous_system,neuroblastoma,23.222123,0.949487
LAN-6,NB,nervous_system,neuroblastoma,23.705966,0.949990
ROS-50,UNCLASSIFIED,blood,B_cell_leukemia,29.884421,0.950226
GAK,SKCM,skin,melanoma,13.059613,0.950866
UACC-257,SKCM,skin,melanoma,24.620709,0.951044
NCI-H1417,SCLC,lung,lung_small_cell_carcinoma,25.292274,0.951254
ES7,UNCLASSIFIED,bone,ewings_sarcoma,19.273807,0.951520
KE-37,ALL,blood,lymphoblastic_leukemia,6.807208,0.951961
IST-SL1,SCLC,lung,lung_small_cell_carcinoma,19.009055,0.952266
ONS-76,MB,nervous_system,medulloblastoma,20.432911,0.952507
DSH1,BLCA,urogenital_system,bladder,14.120667,0.952711
SK-MEL-1,SKCM,skin,melanoma,40.566094,0.953252
COR-L88,SCLC,lung,lung_small_cell_carcinoma,44.515888,0.953721
COLO-824,BRCA,breast,breast,21.153163,0.954045
LOUCY,ALL,blood,lymphoblastic_T_cell_leukaemia,8.619521,0.954583
KM12,COREAD,digestive_system,large_intestine,25.727444,0.955252
NB13,NB,nervous_system,neuroblastoma,13.201025,0.955475
RS4-11,ALL,blood,leukemia,16.809281,0.956056
NB7,NB,nervous_system,neuroblastoma,20.848840,0.956154
CESS,LAML,blood,acute_myeloid_leukaemia,11.959232,0.956544
NCI-H748,SCLC,lung,lung_small_cell_carcinoma,37.529275,0.956674
NCI-H1770,UNCLASSIFIED,lung,lung_NSCLC_not_specified,17.352965,0.956764
JM1,DLBC,blood,B_cell_lymphoma,10.386652,0.956889
L-428,UNCLASSIFIED,blood,Hodgkin_lymphoma,12.988764,0.956891
NCI-H69,SCLC,lung,lung_small_cell_carcinoma,28.729502,0.957182
PL-21,LAML,blood,acute_myeloid_leukaemia,39.007985,0.958342
MONO-MAC-6,LAML,blood,acute_myeloid_leukaemia,29.211312,0.958509
EW-12,UNCLASSIFIED,bone,ewings_sarcoma,142.821976,0.958678
NCI-H1304,SCLC,lung,lung_small_cell_carcinoma,25.185911,0.958859
LU-134-A,SCLC,lung,lung_small_cell_carcinoma,32.587444,0.959839
RPMI-8226,MM,blood,myeloma,16.290280,0.960161
COLO-800,SKCM,skin,melanoma,17.958702,0.960255
MOLP-8,MM,blood,myeloma,15.173986,0.960520
LB2518-MEL,SKCM,skin,melanoma,22.946084,0.960944
D-283MED,MB,nervous_system,medulloblastoma,15.555421,0.961564
SNU-C1,COREAD,digestive_system,large_intestine,153.374711,0.961858
HCC1187,BRCA,breast,breast,16.114434,0.962404
NCI-H1838,LUAD,lung,lung_NSCLC_adenocarcinoma,68.019855,0.962515
LNCaP-Clone-FGC,PRAD,urogenital_system,prostate,33.226283,0.962713
SNU-16,STAD,digestive_system,stomach,26.593988,0.962774
GR-ST,ALL,blood,lymphoblastic_leukemia,59.143604,0.963235
D-502MG,LGG,nervous_system,glioma,97.858004,0.964295
NCI-H1963,SCLC,lung,lung_small_cell_carcinoma,14.993867,0.964396
L-1236,UNCLASSIFIED,blood,Hodgkin_lymphoma,14.225672,0.964434
NCI-H187,SCLC,lung,lung_small_cell_carcinoma,31.262620,0.965003
CHP-126,NB,nervous_system,neuroblastoma,29.840826,0.965228
EW-11,UNCLASSIFIED,bone,ewings_sarcoma,60.949777,0.965286
NB1,NB,nervous_system,neuroblastoma,30.348105,0.965518
NCI-H2196,SCLC,lung,lung_small_cell_carcinoma,30.351317,0.965530
LS-513,COREAD,digestive_system,large_intestine,33.192467,0.965637
ES4,UNCLASSIFIED,bone,ewings_sarcoma,38.270201,0.965903
A253,UNCLASSIFIED,aero_digestive_tract,head_and_neck,27.856190,0.966077
HEL,LAML,blood,acute_myeloid_leukaemia,12.293454,0.966134
U-698-M,UNCLASSIFIED,blood,B_cell_leukemia,34.749444,0.966373
JJN-3,MM,blood,haematopoietic_neoplasm_other,12.732785,0.966392
SF539,LGG,nervous_system,glioma,15.598904,0.966392
ES3,UNCLASSIFIED,bone,ewings_sarcoma,25.419257,0.966585
LU-165,SCLC,lung,lung_small_cell_carcinoma,48.342052,0.966646
A498,KIRC,kidney,kidney,134.866636,0.966869
OCI-LY-19,DLBC,blood,B_cell_lymphoma,17.050114,0.967074
COLO-668,SCLC,lung,lung_small_cell_carcinoma,28.899493,0.967411
L-363,MM,blood,myeloma,15.242891,0.967510
EW-24,UNCLASSIFIED,bone,ewings_sarcoma,19.568549,0.967697
DND-41,ALL,blood,T_cell_leukemia,15.818613,0.968113
EB2,UNCLASSIFIED,blood,Burkitt_lymphoma,16.824285,0.968327
NCI-H1876,SCLC,lung,lung_small_cell_carcinoma,27.078129,0.969150
NCI-H23,LUAD,lung,lung_NSCLC_adenocarcinoma,23.523865,0.969464
ATN-1,ALL,blood,lymphoblastic_T_cell_leukaemia,25.176780,0.969586
DMS-79,SCLC,lung,lung_small_cell_carcinoma,54.677790,0.969592
SK-N-FI,NB,nervous_system,neuroblastoma,29.630442,0.969966
MN-60,UNCLASSIFIED,blood,B_cell_leukemia,45.899365,0.970032
SK-MEL-2,SKCM,skin,melanoma,34.240714,0.970104
GRANTA-519,DLBC,blood,B_cell_lymphoma,21.716169,0.970571
JAR,UNCLASSIFIED,urogenital_system,urogenital_system_other,24.817276,0.971604
CP66-MEL,SKCM,skin,melanoma,41.625766,0.971836
HCC1599,BRCA,breast,breast,31.901316,0.971918
OPM-2,MM,blood,myeloma,14.106614,0.972231
CPC-N,SCLC,lung,lung_small_cell_carcinoma,43.298701,0.972483
ME-1,LAML,blood,acute_myeloid_leukaemia,36.547290,0.973194
RL,DLBC,blood,B_cell_lymphoma,27.609075,0.973292
SK-MM-2,MM,blood,myeloma,41.624656,0.973484
NCI-H1836,SCLC,lung,lung_small_cell_carcinoma,42.959549,0.974167
H-EMC-SS,UNCLASSIFIED,bone,chondrosarcoma,82.660549,0.974998
COLO-684,UCEC,urogenital_system,endometrium,57.202872,0.975208
KNS-81-FD,LGG,nervous_system,glioma,155.730567,0.975237
CGTH-W-1,THCA,thyroid,thyroid,32.863521,0.975293
JSC-1,DLBC,blood,B_cell_lymphoma,35.178116,0.975783
LU-139,SCLC,lung,lung_small_cell_carcinoma,80.163342,0.975836
NB6,NB,nervous_system,neuroblastoma,79.423057,0.976055
ES1,UNCLASSIFIED,bone,ewings_sarcoma,51.132930,0.976194
NCI-H716,COREAD,digestive_system,large_intestine,67.942236,0.976463
SUP-T1,ALL,blood,lymphoblastic_T_cell_leukaemia,33.023255,0.977401
P30-OHK,ALL,blood,lymphoblastic_leukemia,16.850383,0.977576
SK-PN-DW,UNCLASSIFIED,bone,ewings_sarcoma,44.463613,0.977787
CL-11,COREAD,digestive_system,large_intestine,71.686655,0.978159
DB,DLBC,blood,B_cell_lymphoma,105.237116,0.978216
KM-H2,UNCLASSIFIED,blood,Hodgkin_lymphoma,19.516813,0.978453
EW-1,UNCLASSIFIED,bone,ewings_sarcoma,40.919756,0.978601
EW-18,UNCLASSIFIED,bone,ewings_sarcoma,57.300061,0.978917
NCI-H226,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,38.831018,0.978972
KASUMI-1,LAML,blood,acute_myeloid_leukaemia,50.008777,0.979175
MDST8,COREAD,digestive_system,large_intestine,41.954310,0.979347
NKM-1,LAML,blood,acute_myeloid_leukaemia,73.473056,0.979532
SKM-1,UNCLASSIFIED,blood,haematopoietic_neoplasm_other,72.666731,0.979600
NCI-H1155,UNCLASSIFIED,lung,lung_NSCLC_large_cell,26.529642,0.980057
BC-1,DLBC,blood,B_cell_lymphoma,20.665347,0.980231
VCaP,PRAD,urogenital_system,prostate,44.949369,0.980335
SK-ES-1,UNCLASSIFIED,bone,ewings_sarcoma,57.598567,0.980357
MSTO-211H,MESO,lung,mesothelioma,29.801900,0.980752
NCI-H82,SCLC,lung,lung_small_cell_carcinoma,74.747356,0.980987
COR-L279,SCLC,lung,lung_small_cell_carcinoma,26.040563,0.981226
EW-13,UNCLASSIFIED,bone,ewings_sarcoma,85.817231,0.981287
JVM-3,CLL,blood,lymphoid_neoplasm_other,67.162616,0.981360
SNU-5,STAD,digestive_system,stomach,90.938876,0.981395
A4-Fuk,DLBC,blood,B_cell_lymphoma,48.055443,0.981534
EW-3,UNCLASSIFIED,bone,ewings_sarcoma,91.436003,0.981742
NCI-H1694,SCLC,lung,lung_small_cell_carcinoma,45.415752,0.981802
KMS-12-BM,MM,blood,myeloma,19.218604,0.982627
NH-12,NB,nervous_system,neuroblastoma,76.540810,0.982654
KMOE-2,LAML,blood,acute_myeloid_leukaemia,39.367432,0.982720
NCI-H209,SCLC,lung,lung_small_cell_carcinoma,93.746579,0.982780
BC-3,DLBC,blood,B_cell_lymphoma,23.770431,0.982806
NCI-H1092,SCLC,lung,lung_small_cell_carcinoma,98.277481,0.982838
HSC-39,STAD,digestive_system,stomach,22.909132,0.983368
Mo-T,UNCLASSIFIED,blood,hairy_cell_leukaemia,97.364142,0.983475
NCI-H1666,LUAD,lung,lung_NSCLC_adenocarcinoma,103.931610,0.983824
ES5,UNCLASSIFIED,bone,ewings_sarcoma,116.464346,0.983873
DMS-114,SCLC,lung,lung_small_cell_carcinoma,90.625486,0.984134
RH-1,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,21.963602,0.984226
EC-GI-10,ESCA,aero_digestive_tract,oesophagus,59.769740,0.984528
OMC-1,CESC,urogenital_system,cervix,71.076169,0.984772
SUP-M2,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,21.371597,0.984815
NB10,NB,nervous_system,neuroblastoma,70.958732,0.984842
CW-2,COREAD,digestive_system,large_intestine,146.958638,0.984875
KELLY,NB,nervous_system,neuroblastoma,39.460795,0.984924
HCC2157,BRCA,breast,breast,72.300749,0.984967
L-540,UNCLASSIFIED,blood,Hodgkin_lymphoma,45.532981,0.984992
NCI-H2081,SCLC,lung,lung_small_cell_carcinoma,74.062776,0.984992
SCH,UNCLASSIFIED,digestive_system,stomach,68.816952,0.985062
WSU-NHL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,37.243626,0.985126
BE2-M17,NB,nervous_system,neuroblastoma,74.663635,0.985372
AMO-1,MM,blood,haematopoietic_neoplasm_other,26.622632,0.985379
SBC-1,SCLC,lung,lung_small_cell_carcinoma,108.387203,0.985772
SU-DHL-1,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,18.447289,0.986270
SUP-HD1,UNCLASSIFIED,blood,Hodgkin_lymphoma,44.159052,0.986354
NCI-H847,SCLC,lung,lung_small_cell_carcinoma,24.397584,0.986361
KG-1,LAML,blood,acute_myeloid_leukaemia,48.545162,0.986527
TUR,DLBC,blood,B_cell_lymphoma,47.755518,0.986804
NCI-H526,SCLC,lung,lung_small_cell_carcinoma,75.239821,0.986870
TC-71,UNCLASSIFIED,bone,ewings_sarcoma,43.872496,0.987374
NCI-H524,SCLC,lung,lung_small_cell_carcinoma,50.246585,0.987375
HCC-33,SCLC,lung,lung_small_cell_carcinoma,60.304059,0.987398
DJM-1,UNCLASSIFIED,skin,skin_other,67.052207,0.987455
AM-38,GBM,nervous_system,glioma,75.988551,0.987501
NCI-H2135,UNCLASSIFIED,lung,lung_NSCLC_not_specified,65.982671,0.987628
MFM-223,BRCA,breast,breast,135.174586,0.988178
