"Cell line","TCGA classification",Tissue,"Tissue sub-type",IC50,AUC
BPH-1,UNCLASSIFIED,urogenital_system,prostate,1.365830,0.820672
H4,LGG,nervous_system,glioma,1.066697,0.821107
U-2-OS,UNCLASSIFIED,bone,osteosarcoma,1.393755,0.821726
NCI-H196,SCLC,lung,lung_small_cell_carcinoma,1.286174,0.823869
KALS-1,LGG,nervous_system,glioma,2.041417,0.824243
ES4,UNCLASSIFIED,bone,ewings_sarcoma,1.434279,0.824613
U-698-M,UNCLASSIFIED,blood,B_cell_leukemia,1.374458,0.824898
SKM-1,UNCLASSIFIED,blood,haematopoietic_neoplasm_other,1.456093,0.826027
NY,UNCLASSIFIED,bone,osteosarcoma,1.462563,0.826744
QIMR-WIL,LAML,blood,acute_myeloid_leukaemia,1.241718,0.827630
BB65-RCC,KIRC,kidney,kidney,1.699843,0.832314
LoVo,COREAD,digestive_system,large_intestine,1.422798,0.832908
HEL,LAML,blood,acute_myeloid_leukaemia,1.019415,0.835445
CS1,UNCLASSIFIED,bone,bone_other,1.509958,0.836458
NCI-H2030,LUAD,lung,lung_NSCLC_adenocarcinoma,1.535762,0.836691
NCI-H23,LUAD,lung,lung_NSCLC_adenocarcinoma,1.293831,0.839341
ECC10,UNCLASSIFIED,digestive_system,stomach,1.632132,0.841065
PANC-03-27,PAAD,pancreas,pancreas,1.309624,0.841121
KE-37,ALL,blood,lymphoblastic_leukemia,0.946621,0.841169
COLO-829,SKCM,skin,melanoma,2.344805,0.842124
HO-1-N-1,HNSC,aero_digestive_tract,head_and_neck,1.280834,0.842678
D-283MED,MB,nervous_system,medulloblastoma,1.259314,0.844602
COR-L23,UNCLASSIFIED,lung,lung_NSCLC_large_cell,1.442419,0.844935
EW-1,UNCLASSIFIED,bone,ewings_sarcoma,1.477500,0.846163
OVCAR-3,OV,urogenital_system,ovary,1.774957,0.847204
ONS-76,MB,nervous_system,medulloblastoma,1.651676,0.848229
BHY,HNSC,aero_digestive_tract,head_and_neck,1.431905,0.848250
HT-1080,UNCLASSIFIED,soft_tissue,fibrosarcoma,1.327943,0.848376
8-MG-BA,GBM,nervous_system,glioma,1.333791,0.848742
HCC1569,BRCA,breast,breast,2.095471,0.849122
KGN,UNCLASSIFIED,urogenital_system,ovary,1.904485,0.850414
Hs-746T,STAD,digestive_system,stomach,2.451118,0.850441
SW156,KIRC,kidney,kidney,1.932065,0.851599
RF-48,STAD,digestive_system,stomach,2.102091,0.853311
IST-SL1,SCLC,lung,lung_small_cell_carcinoma,1.692614,0.853884
ESO51,ESCA,aero_digestive_tract,oesophagus,2.519464,0.853977
HN,HNSC,aero_digestive_tract,head_and_neck,1.379291,0.855039
RPMI-8866,LCML,blood,chronic_myeloid_leukaemia,1.472669,0.855361
GI-ME-N,NB,nervous_system,neuroblastoma,2.405749,0.856397
SNG-M,UCEC,urogenital_system,endometrium,1.822563,0.856613
SUP-B8,UNCLASSIFIED,blood,B_cell_leukemia,2.470132,0.856888
HOS,UNCLASSIFIED,bone,osteosarcoma,1.474626,0.857716
ALL-PO,ALL,blood,lymphoblastic_leukemia,1.821529,0.858155
RCC10RGB,KIRC,kidney,kidney,5.182882,0.858982
GAMG,LGG,nervous_system,glioma,1.705110,0.859147
NCI-H82,SCLC,lung,lung_small_cell_carcinoma,2.049310,0.860190
SK-MEL-1,SKCM,skin,melanoma,2.722126,0.860589
IHH-4,THCA,thyroid,thyroid,1.237880,0.861097
MC-IXC,NB,nervous_system,neuroblastoma,1.009343,0.861309
JVM-3,CLL,blood,lymphoid_neoplasm_other,1.973413,0.861431
SF539,LGG,nervous_system,glioma,1.389490,0.861536
BB30-HNC,HNSC,aero_digestive_tract,head_and_neck,1.717878,0.861660
CHP-134,NB,nervous_system,neuroblastoma,1.914249,0.862436
BFTC-909,KIRC,kidney,kidney,1.822764,0.863308
MOG-G-CCM,LGG,nervous_system,glioma,2.305084,0.864098
A204,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,2.984557,0.865065
KYSE-270,ESCA,aero_digestive_tract,oesophagus,1.493221,0.866619
A427,UNCLASSIFIED,lung,lung_NSCLC_not_specified,1.941023,0.866992
SN12C,KIRC,kidney,kidney,2.378987,0.867024
BFTC-905,BLCA,urogenital_system,bladder,1.554663,0.867273
GB-1,GBM,nervous_system,glioma,2.214338,0.867683
IGR-37,SKCM,skin,melanoma,1.660856,0.868016
SK-MES-1,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,2.114214,0.868060
LAMA-84,LCML,blood,chronic_myeloid_leukaemia,1.915379,0.868127
H-EMC-SS,UNCLASSIFIED,bone,chondrosarcoma,2.743550,0.868194
CAL-54,KIRC,kidney,kidney,2.213318,0.868974
L-363,MM,blood,myeloma,1.453073,0.868975
SCC-4,HNSC,aero_digestive_tract,head_and_neck,2.381281,0.870049
U-266,MM,blood,myeloma,3.066897,0.870133
EW-3,UNCLASSIFIED,bone,ewings_sarcoma,2.459850,0.870345
PE-CA-PJ15,HNSC,aero_digestive_tract,head_and_neck,2.053415,0.870663
BE-13,ALL,blood,lymphoblastic_leukemia,1.887925,0.870720
SH-4,SKCM,skin,melanoma,3.482950,0.870925
EPLC-272H,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,2.236624,0.872316
D-566MG,GBM,nervous_system,glioma,1.704415,0.872959
LU-99A,UNCLASSIFIED,lung,lung_NSCLC_large_cell,2.171072,0.873516
HCC1806,UNCLASSIFIED,breast,breast,1.706899,0.873750
SNU-1,STAD,digestive_system,stomach,2.856942,0.874117
JHH-1,LIHC,digestive_system,liver,2.161920,0.874479
HCC1954,BRCA,breast,breast,2.348567,0.874681
KYSE-140,ESCA,aero_digestive_tract,oesophagus,2.784624,0.875066
COR-L88,SCLC,lung,lung_small_cell_carcinoma,3.498502,0.875741
IST-MEL1,SKCM,skin,melanoma,2.711656,0.875777
MHH-PREB-1,UNCLASSIFIED,blood,B_cell_leukemia,1.677152,0.876039
MDA-MB-157,BRCA,breast,breast,2.118193,0.876156
VA-ES-BJ,UNCLASSIFIED,soft_tissue,soft_tissue_other,2.128348,0.876722
SK-N-DZ,NB,nervous_system,neuroblastoma,2.687403,0.878023
REH,UNCLASSIFIED,blood,B_cell_leukemia,1.852941,0.878857
NCI-H1568,LUAD,lung,lung_NSCLC_adenocarcinoma,3.080578,0.879089
AN3-CA,UCEC,urogenital_system,endometrium,2.462643,0.879369
DOHH-2,DLBC,blood,B_cell_lymphoma,1.655457,0.879458
OAW-28,OV,urogenital_system,ovary,3.102725,0.879712
NCI-H510A,SCLC,lung,lung_small_cell_carcinoma,2.284670,0.880365
JEG-3,UNCLASSIFIED,urogenital_system,urogenital_system_other,1.816291,0.880680
CAL-33,HNSC,aero_digestive_tract,head_and_neck,2.112428,0.880886
DU-4475,BRCA,breast,breast,1.642983,0.881155
ES1,UNCLASSIFIED,bone,ewings_sarcoma,2.510737,0.881313
Mewo,SKCM,skin,melanoma,3.207828,0.881345
EW-13,UNCLASSIFIED,bone,ewings_sarcoma,2.822319,0.882245
JURL-MK1,LCML,blood,chronic_myeloid_leukaemia,2.357814,0.882304
ST486,UNCLASSIFIED,blood,Burkitt_lymphoma,1.890904,0.882352
EoL-1-cell,UNCLASSIFIED,blood,haematopoietic_neoplasm_other,1.938311,0.882924
NCI-H322M,LUAD,lung,lung_NSCLC_adenocarcinoma,4.525782,0.883273
NCI-H2228,LUAD,lung,lung_NSCLC_adenocarcinoma,4.309632,0.883431
NH-12,NB,nervous_system,neuroblastoma,2.625024,0.883727
RT-112,BLCA,urogenital_system,bladder,2.538442,0.885224
OVMIU,OV,urogenital_system,ovary,3.306918,0.885233
UACC-62,SKCM,skin,melanoma,2.137260,0.885596
RS4-11,ALL,blood,leukemia,2.127438,0.885942
KMRC-20,KIRC,kidney,kidney,2.487562,0.886298
CHP-212,NB,nervous_system,neuroblastoma,2.211482,0.886528
EM-2,LCML,blood,chronic_myeloid_leukaemia,3.072541,0.886899
SK-UT-1,UNCLASSIFIED,soft_tissue,soft_tissue_other,2.086578,0.887002
NCI-H1299,UNCLASSIFIED,lung,lung_NSCLC_large_cell,3.340333,0.887184
SAS,HNSC,aero_digestive_tract,head_and_neck,2.561714,0.887221
NCI-H1793,LUAD,lung,lung_NSCLC_adenocarcinoma,5.535998,0.887622
HSC-39,STAD,digestive_system,stomach,1.644888,0.888633
KP-N-YS,NB,nervous_system,neuroblastoma,2.714432,0.888671
YKG-1,GBM,nervous_system,glioma,2.509407,0.888804
HuO9,UNCLASSIFIED,bone,osteosarcoma,2.788885,0.890720
CML-T1,LCML,blood,chronic_myeloid_leukaemia,2.040924,0.890877
RPMI-7951,SKCM,skin,melanoma,2.173157,0.890963
FTC-133,THCA,thyroid,thyroid,2.523874,0.891000
RO82-W-1,THCA,thyroid,thyroid,3.516388,0.891485
SK-PN-DW,UNCLASSIFIED,bone,ewings_sarcoma,2.591005,0.892191
P30-OHK,ALL,blood,lymphoblastic_leukemia,1.654338,0.892279
SK-N-AS,NB,nervous_system,neuroblastoma,3.461459,0.892624
SUP-T1,ALL,blood,lymphoblastic_T_cell_leukaemia,2.288399,0.893148
Hs-633T,UNCLASSIFIED,soft_tissue,fibrosarcoma,1.760495,0.893188
KM12,COREAD,digestive_system,large_intestine,3.081017,0.893247
TE-12,ESCA,aero_digestive_tract,oesophagus,4.554226,0.893314
NCI-H1581,UNCLASSIFIED,lung,lung_NSCLC_large_cell,2.112759,0.893482
Ramos-2G6-4C10,UNCLASSIFIED,blood,Burkitt_lymphoma,1.915850,0.893872
KP-4,PAAD,pancreas,pancreas,2.232602,0.893907
LOUCY,ALL,blood,lymphoblastic_T_cell_leukaemia,1.589028,0.894062
DEL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,1.663713,0.894086
NCI-H2810,MESO,lung,mesothelioma,3.262181,0.894311
KNS-81-FD,LGG,nervous_system,glioma,5.538484,0.894353
MS-1,SCLC,lung,lung_small_cell_carcinoma,2.110101,0.894723
SUP-B15,ALL,blood,lymphoblastic_leukemia,2.426385,0.894779
MPP-89,MESO,lung,mesothelioma,4.057237,0.894807
RL95-2,UNCLASSIFIED,urogenital_system,endometrium,2.536201,0.895020
LOXIMVI,SKCM,skin,melanoma,2.494958,0.895220
KY821,LAML,blood,leukemia,2.284209,0.895227
TE-11,ESCA,aero_digestive_tract,oesophagus,2.251736,0.895764
KG-1,LAML,blood,acute_myeloid_leukaemia,2.238349,0.895913
KYSE-70,ESCA,aero_digestive_tract,oesophagus,3.156143,0.896117
SK-MEL-30,SKCM,skin,melanoma,2.927009,0.896373
IGROV-1,OV,urogenital_system,ovary,4.909320,0.896675
J82,BLCA,urogenital_system,bladder,2.767133,0.896838
CAL-12T,UNCLASSIFIED,lung,lung_NSCLC_not_specified,3.114001,0.897045
HH,UNCLASSIFIED,blood,T_cell_leukemia,4.698332,0.897081
NOMO-1,LAML,blood,acute_myeloid_leukaemia,3.640025,0.897501
T24,BLCA,urogenital_system,bladder,2.789349,0.897556
Ca9-22,HNSC,aero_digestive_tract,head_and_neck,2.229957,0.898334
LU-139,SCLC,lung,lung_small_cell_carcinoma,4.054917,0.898572
SW1573,LUAD,lung,lung_NSCLC_adenocarcinoma,4.489207,0.898621
MFE-319,UCEC,urogenital_system,endometrium,2.366918,0.898726
IPC-298,SKCM,skin,melanoma,2.646983,0.898822
M14,SKCM,skin,melanoma,3.396050,0.898885
NCI-H2170,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,3.410087,0.898896
PC-14,LUAD,lung,lung_NSCLC_adenocarcinoma,2.621604,0.898981
RXF393,KIRC,kidney,kidney,5.933814,0.899130
D-392MG,GBM,nervous_system,glioma,4.449229,0.899420
SK-MEL-2,SKCM,skin,melanoma,2.974424,0.899651
SK-OV-3,OV,urogenital_system,ovary,4.544394,0.900679
WSU-NHL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,2.203332,0.900791
OCI-LY7,DLBC,blood,B_cell_lymphoma,1.281994,0.901371
NCI-H1915,UNCLASSIFIED,lung,lung_NSCLC_large_cell,2.875234,0.901681
KOSC-2,HNSC,aero_digestive_tract,head_and_neck,3.769181,0.901891
ESS-1,UNCLASSIFIED,urogenital_system,endometrium,2.138288,0.902002
NTERA-2-cl-D1,UNCLASSIFIED,urogenital_system,testis,2.465342,0.902039
H9,UNCLASSIFIED,blood,lymphoid_neoplasm_other,2.402669,0.902073
EW-16,UNCLASSIFIED,bone,ewings_sarcoma,2.904949,0.902465
NCI-N87,STAD,digestive_system,stomach,5.850706,0.902504
MG-63,UNCLASSIFIED,bone,osteosarcoma,5.400070,0.902620
NCI-H2087,LUAD,lung,lung_NSCLC_adenocarcinoma,3.171658,0.902861
KARPAS-422,DLBC,blood,B_cell_lymphoma,3.630649,0.903465
P12-ICHIKAWA,ALL,blood,lymphoblastic_T_cell_leukaemia,1.940426,0.903683
BALL-1,UNCLASSIFIED,blood,B_cell_leukemia,4.477029,0.903720
LS-180,COREAD,digestive_system,large_intestine,4.958331,0.903743
CAL-120,BRCA,breast,breast,4.674622,0.903922
RKO,COREAD,digestive_system,large_intestine,2.431078,0.904544
LCLC-97TM1,UNCLASSIFIED,lung,lung_NSCLC_large_cell,3.188283,0.904680
VMRC-RCW,KIRC,kidney,kidney,2.833844,0.904804
KYSE-520,ESCA,aero_digestive_tract,oesophagus,4.772333,0.905044
Daoy,MB,nervous_system,medulloblastoma,2.265084,0.905148
NUGC-3,STAD,digestive_system,stomach,3.693059,0.905268
EW-18,UNCLASSIFIED,bone,ewings_sarcoma,3.422009,0.905277
A375,SKCM,skin,melanoma,2.271269,0.905441
CaR-1,COREAD,digestive_system,large_intestine,5.917734,0.906026
UMC-11,UNCLASSIFIED,lung,lung_NSCLC_carcinoid,2.329781,0.906113
HCC-78,LUAD,lung,lung_NSCLC_adenocarcinoma,4.035756,0.906166
KYSE-410,ESCA,aero_digestive_tract,oesophagus,3.468401,0.906409
NCI-H2085,LUAD,lung,lung_NSCLC_adenocarcinoma,3.409358,0.906420
SW780,BLCA,urogenital_system,bladder,3.422190,0.906672
OSC-20,HNSC,aero_digestive_tract,head_and_neck,3.998360,0.906921
MN-60,UNCLASSIFIED,blood,B_cell_leukemia,3.953509,0.907178
NB6,NB,nervous_system,neuroblastoma,4.637384,0.907651
SK-HEP-1,LIHC,digestive_system,liver,2.531925,0.908662
BEN,UNCLASSIFIED,lung,lung_NSCLC_not_specified,4.325776,0.908749
A3-KAW,DLBC,blood,B_cell_lymphoma,1.807302,0.909257
NKM-1,LAML,blood,acute_myeloid_leukaemia,4.113183,0.909805
NCI-H929,MM,blood,myeloma,2.118421,0.909848
MCF7,BRCA,breast,breast,3.189075,0.909881
HCC1419,BRCA,breast,breast,5.465494,0.909983
C32,SKCM,skin,melanoma,6.413093,0.910367
CTV-1,LAML,blood,acute_myeloid_leukaemia,1.959528,0.910369
T-T,ESCA,aero_digestive_tract,oesophagus,2.983426,0.910779
ES7,UNCLASSIFIED,bone,ewings_sarcoma,3.490514,0.911014
SW1710,BLCA,urogenital_system,bladder,3.336015,0.911866
TUR,DLBC,blood,B_cell_lymphoma,2.693135,0.911911
SW900,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,3.794428,0.911980
CAL-39,CESC,urogenital_system,cervix,3.148502,0.912299
KYSE-180,ESCA,aero_digestive_tract,oesophagus,3.031921,0.912337
SJSA-1,UNCLASSIFIED,bone,bone_other,4.708791,0.912481
JHH-2,LIHC,digestive_system,liver,3.670669,0.913834
U-87-MG,GBM,nervous_system,glioma,5.295440,0.914692
SK-LMS-1,UNCLASSIFIED,soft_tissue,soft_tissue_other,2.999871,0.914840
ME-180,CESC,urogenital_system,cervix,4.126164,0.915173
G-292-Clone-A141B1,UNCLASSIFIED,bone,osteosarcoma,11.158193,0.915608
FADU,HNSC,aero_digestive_tract,head_and_neck,3.162108,0.915677
KYM-1,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,2.708443,0.916451
NOS-1,UNCLASSIFIED,bone,osteosarcoma,5.804576,0.916553
NCI-H1048,SCLC,lung,lung_small_cell_carcinoma,2.505785,0.916741
D-502MG,LGG,nervous_system,glioma,9.155876,0.916866
K5,THCA,thyroid,thyroid,3.111143,0.916878
DBTRG-05MG,GBM,nervous_system,glioma,6.511197,0.917602
MZ2-MEL,SKCM,skin,melanoma,4.762288,0.917650
PANC-08-13,PAAD,pancreas,pancreas,5.703012,0.917965
NCI-H1666,LUAD,lung,lung_NSCLC_adenocarcinoma,4.877152,0.918133
HCC38,BRCA,breast,breast,4.079099,0.918183
NCI-H720,UNCLASSIFIED,lung,lung_NSCLC_carcinoid,4.423071,0.918217
ES-2,UNCLASSIFIED,urogenital_system,ovary,2.957136,0.918238
ES5,UNCLASSIFIED,bone,ewings_sarcoma,5.271186,0.919160
HMV-II,SKCM,skin,melanoma,5.797251,0.919214
RD,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,4.433836,0.919243
HCC2157,BRCA,breast,breast,3.924692,0.919309
EFO-27,UNCLASSIFIED,urogenital_system,ovary,6.113882,0.919344
DG-75,UNCLASSIFIED,blood,Burkitt_lymphoma,3.840654,0.919402
PA-1,UNCLASSIFIED,urogenital_system,ovary,1.954363,0.919424
MONO-MAC-6,LAML,blood,acute_myeloid_leukaemia,4.762047,0.920025
MEL-HO,SKCM,skin,melanoma,3.559677,0.920521
YH-13,GBM,nervous_system,glioma,3.601196,0.920560
SK-N-SH,NB,nervous_system,neuroblastoma,3.258380,0.920571
KARPAS-45,ALL,blood,lymphoblastic_leukemia,2.407406,0.920588
SUIT-2,PAAD,pancreas,pancreas,3.818765,0.921014
A431,UNCLASSIFIED,skin,skin_other,2.940856,0.921018
NCI-H1092,SCLC,lung,lung_small_cell_carcinoma,5.187537,0.921065
SCC-9,HNSC,aero_digestive_tract,head_and_neck,7.284435,0.921383
ES8,UNCLASSIFIED,bone,ewings_sarcoma,3.215214,0.921530
PL-21,LAML,blood,acute_myeloid_leukaemia,6.134195,0.921788
VM-CUB-1,BLCA,urogenital_system,bladder,3.490705,0.921921
KARPAS-299,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,2.782357,0.922133
H3255,LUAD,lung,lung_NSCLC_adenocarcinoma,5.543583,0.922562
NCI-H716,COREAD,digestive_system,large_intestine,5.428574,0.922670
A4-Fuk,DLBC,blood,B_cell_lymphoma,3.750496,0.922730
TE-1,ESCA,aero_digestive_tract,oesophagus,5.990214,0.922835
647-V,BLCA,urogenital_system,bladder,4.056805,0.923104
5637,BLCA,urogenital_system,bladder,2.877301,0.923348
T98G,GBM,nervous_system,glioma,2.839105,0.923565
SW48,COREAD,digestive_system,large_intestine,4.344325,0.923712
KYSE-510,ESCA,aero_digestive_tract,oesophagus,2.525583,0.923733
RVH-421,SKCM,skin,melanoma,7.942876,0.923953
NCI-H661,UNCLASSIFIED,lung,lung_NSCLC_large_cell,5.994133,0.924140
PA-TU-8988T,PAAD,pancreas,pancreas,3.916466,0.924149
HT-144,SKCM,skin,melanoma,5.635886,0.924335
SCH,UNCLASSIFIED,digestive_system,stomach,4.146409,0.924447
SNU-C2B,COREAD,digestive_system,large_intestine,7.777492,0.924448
NCI-H647,UNCLASSIFIED,lung,lung_NSCLC_not_specified,4.155258,0.924773
SK-N-FI,NB,nervous_system,neuroblastoma,3.995619,0.925051
HT-1376,BLCA,urogenital_system,bladder,5.782002,0.925156
OCI-LY-19,DLBC,blood,B_cell_lymphoma,2.943000,0.925266
TE-9,ESCA,aero_digestive_tract,oesophagus,4.478987,0.925462
KYSE-220,ESCA,aero_digestive_tract,oesophagus,4.542359,0.925598
LU-134-A,SCLC,lung,lung_small_cell_carcinoma,5.584705,0.925987
TE-8,ESCA,aero_digestive_tract,oesophagus,5.292876,0.926468
G-401,UNCLASSIFIED,kidney,kidney,4.900383,0.926516
NB14,NB,nervous_system,neuroblastoma,3.182406,0.926674
LB771-HNC,HNSC,aero_digestive_tract,head_and_neck,5.787747,0.926824
JEKO-1,DLBC,blood,B_cell_lymphoma,3.478406,0.926829
OCI-AML3,LAML,blood,acute_myeloid_leukaemia,3.120660,0.927540
GI-1,LGG,nervous_system,glioma,3.267405,0.927586
MDA-MB-231,BRCA,breast,breast,4.875517,0.927748
COLO-668,SCLC,lung,lung_small_cell_carcinoma,4.390045,0.927890
ML-2,LAML,blood,acute_myeloid_leukaemia,3.198759,0.928033
WM278,SKCM,skin,melanoma,5.568944,0.928097
NCI-H1304,SCLC,lung,lung_small_cell_carcinoma,4.876208,0.928113
SNU-16,STAD,digestive_system,stomach,4.691661,0.928731
OS-RC-2,KIRC,kidney,kidney,9.707606,0.928885
SK-MEL-28,SKCM,skin,melanoma,3.919855,0.928943
COLO-320-HSR,COREAD,digestive_system,large_intestine,3.475665,0.929092
MEG-01,LCML,blood,chronic_myeloid_leukaemia,4.533757,0.929458
GP5d,COREAD,digestive_system,large_intestine,3.142801,0.929496
COLO-679,SKCM,skin,melanoma,5.728311,0.929503
AsPC-1,PAAD,pancreas,pancreas,16.741992,0.929600
BE2-M17,NB,nervous_system,neuroblastoma,4.705908,0.929869
huH-1,LIHC,digestive_system,liver,6.067607,0.930064
LC-2-ad,LUAD,lung,lung_NSCLC_adenocarcinoma,4.371222,0.930309
Ca-Ski,CESC,urogenital_system,cervix,5.736721,0.930492
786-0,KIRC,kidney,kidney,3.337883,0.930505
COLO-684,UCEC,urogenital_system,endometrium,5.891757,0.930533
G-402,UNCLASSIFIED,soft_tissue,soft_tissue_other,8.215109,0.930678
KU-19-19,BLCA,urogenital_system,bladder,3.615162,0.930961
NCI-H1355,LUAD,lung,lung_NSCLC_adenocarcinoma,9.502576,0.930999
NCI-H1417,SCLC,lung,lung_small_cell_carcinoma,6.172760,0.931060
KARPAS-231,UNCLASSIFIED,blood,B_cell_leukemia,2.140166,0.931547
HCE-4,ESCA,aero_digestive_tract,oesophagus,3.372524,0.931599
NCI-H2023,LUAD,lung,lung_NSCLC_adenocarcinoma,6.363834,0.931607
HuO-3N1,UNCLASSIFIED,bone,osteosarcoma,12.647363,0.932059
VAL,DLBC,blood,B_cell_lymphoma,5.645106,0.932121
CCRF-CEM,ALL,blood,lymphoblastic_leukemia,3.719822,0.932186
C-33-A,CESC,urogenital_system,cervix,4.202065,0.932226
8305C,THCA,thyroid,thyroid,7.249553,0.933079
NCI-H2369,MESO,lung,mesothelioma,4.313753,0.933301
DJM-1,UNCLASSIFIED,skin,skin_other,4.324075,0.933404
Hs-940-T,SKCM,skin,melanoma,7.405092,0.934016
TCCSUP,BLCA,urogenital_system,bladder,6.354478,0.934241
HCT-15,COREAD,digestive_system,large_intestine,5.213848,0.934360
HPAC,PAAD,pancreas,pancreas,10.611280,0.934758
JAR,UNCLASSIFIED,urogenital_system,urogenital_system_other,4.027347,0.935084
SW1088,GBM,nervous_system,glioma,8.232477,0.935170
Becker,GBM,nervous_system,glioma,5.937266,0.935419
HCC1395,BRCA,breast,breast,8.548389,0.936040
BT-483,BRCA,breast,breast,18.526985,0.936295
U031,KIRC,kidney,kidney,4.995691,0.936350
TE-15,ESCA,aero_digestive_tract,oesophagus,6.930892,0.936428
D-423MG,GBM,nervous_system,glioma,5.756503,0.936748
NCI-H522,LUAD,lung,lung_NSCLC_adenocarcinoma,5.970359,0.937030
CCK-81,COREAD,digestive_system,large_intestine,4.937250,0.937135
WM793B,SKCM,skin,melanoma,5.409241,0.937199
LN-229,GBM,nervous_system,glioma,5.659387,0.937210
SJRH30,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,4.134270,0.937262
KYSE-150,ESCA,aero_digestive_tract,oesophagus,4.030334,0.937264
D-263MG,GBM,nervous_system,glioma,6.807561,0.937805
Detroit562,HNSC,aero_digestive_tract,head_and_neck,4.278757,0.937820
Saos-2,UNCLASSIFIED,bone,osteosarcoma,11.005294,0.937975
COLO-792,SKCM,skin,melanoma,7.590145,0.938006
MHH-NB-11,NB,nervous_system,neuroblastoma,6.926798,0.938166
SW837,COREAD,digestive_system,large_intestine,11.246192,0.938338
D-336MG,LGG,nervous_system,glioma,7.166669,0.939001
KYSE-50,ESCA,aero_digestive_tract,oesophagus,4.261996,0.939131
LC4-1,ALL,blood,lymphoblastic_leukemia,7.048238,0.939143
RH-1,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,2.867789,0.939158
UM-UC-3,BLCA,urogenital_system,bladder,4.095231,0.939242
RERF-LC-MS,LUAD,lung,lung_NSCLC_adenocarcinoma,6.240128,0.939595
NCI-H211,SCLC,lung,lung_small_cell_carcinoma,4.907689,0.939659
