"Cell line","TCGA classification",Tissue,"Tissue sub-type",IC50,AUC
RCC-JF,KIRC,kidney,kidney,6.190741,0.668932
Hs-445,UNCLASSIFIED,blood,Hodgkin_lymphoma,5.658835,0.668999
DND-41,ALL,blood,T_cell_leukemia,5.620962,0.671815
MC-IXC,NB,nervous_system,neuroblastoma,5.230314,0.672068
A431,UNCLASSIFIED,skin,skin_other,5.822571,0.673257
MHH-PREB-1,UNCLASSIFIED,blood,B_cell_leukemia,5.841027,0.674906
SNU-C2B,COREAD,digestive_system,large_intestine,7.478093,0.677148
ES5,UNCLASSIFIED,bone,ewings_sarcoma,6.960715,0.677593
HuTu-80,UNCLASSIFIED,digestive_system,digestive_system_other,5.658527,0.677601
P12-ICHIKAWA,ALL,blood,lymphoblastic_T_cell_leukaemia,5.763709,0.678628
HOP-62,LUAD,lung,lung_NSCLC_adenocarcinoma,6.434649,0.679232
GB-1,GBM,nervous_system,glioma,6.828041,0.680180
Hs-633T,UNCLASSIFIED,soft_tissue,fibrosarcoma,5.839698,0.680242
HL-60,LAML,blood,acute_myeloid_leukaemia,6.343174,0.683724
KARPAS-620,MM,blood,haematopoietic_neoplasm_other,6.045929,0.683865
CPC-N,SCLC,lung,lung_small_cell_carcinoma,6.931854,0.684036
KMOE-2,LAML,blood,acute_myeloid_leukaemia,6.454014,0.686529
SW948,COREAD,digestive_system,large_intestine,8.149085,0.686856
NCI-H3118,UNCLASSIFIED,aero_digestive_tract,head_and_neck,7.089484,0.686879
NCI-H1944,LUAD,lung,lung_NSCLC_adenocarcinoma,7.095767,0.690779
WM35,SKCM,skin,melanoma,6.876727,0.691392
NH-12,NB,nervous_system,neuroblastoma,7.371717,0.692008
SUP-T1,ALL,blood,lymphoblastic_T_cell_leukaemia,6.788790,0.692199
MKN28,STAD,digestive_system,stomach,7.252762,0.692891
COLO-668,SCLC,lung,lung_small_cell_carcinoma,7.174326,0.693960
MDA-MB-453,BRCA,breast,breast,7.188364,0.694325
SU-DHL-5,DLBC,blood,B_cell_lymphoma,6.087533,0.695207
NB(TU)1-10,NB,nervous_system,neuroblastoma,6.778149,0.695593
CCK-81,COREAD,digestive_system,large_intestine,7.193776,0.696176
CW-2,COREAD,digestive_system,large_intestine,8.265989,0.697117
NOS-1,UNCLASSIFIED,bone,osteosarcoma,8.526577,0.698578
PANC-10-05,PAAD,pancreas,pancreas,8.353632,0.700389
NCI-H82,SCLC,lung,lung_small_cell_carcinoma,7.966924,0.700688
OVK-18,OV,urogenital_system,ovary,8.300164,0.701073
NCI-H526,SCLC,lung,lung_small_cell_carcinoma,7.560997,0.702330
MC116,DLBC,blood,B_cell_lymphoma,6.228995,0.704212
CAL-33,HNSC,aero_digestive_tract,head_and_neck,7.654915,0.706508
KP-N-YS,NB,nervous_system,neuroblastoma,8.210290,0.708198
DEL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,6.843791,0.708691
COLO-684,UCEC,urogenital_system,endometrium,8.566676,0.708984
CAPAN-1,PAAD,pancreas,pancreas,8.840579,0.711361
SBC-1,SCLC,lung,lung_small_cell_carcinoma,8.708700,0.711995
PANC-02-03,PAAD,pancreas,pancreas,9.187443,0.713223
SNU-1,STAD,digestive_system,stomach,9.486984,0.714335
ESS-1,UNCLASSIFIED,urogenital_system,endometrium,7.486543,0.714954
NCI-H2085,LUAD,lung,lung_NSCLC_adenocarcinoma,8.652129,0.716129
CTB-1,DLBC,blood,B_cell_lymphoma,11.124220,0.719694
SNU-423,LIHC,digestive_system,liver,8.968512,0.720106
HCC38,BRCA,breast,breast,8.939994,0.720667
DU-4475,BRCA,breast,breast,7.677889,0.720915
SK-PN-DW,UNCLASSIFIED,bone,ewings_sarcoma,8.715925,0.721095
HuP-T3,PAAD,pancreas,pancreas,10.158579,0.721399
LC4-1,ALL,blood,lymphoblastic_leukemia,9.609471,0.723967
ES6,UNCLASSIFIED,bone,ewings_sarcoma,10.078132,0.723977
SU-DHL-16,DLBC,blood,B_cell_lymphoma,7.079852,0.724537
A204,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,11.154643,0.724754
HT-144,SKCM,skin,melanoma,9.918001,0.724815
SF268,GBM,nervous_system,glioma,9.250078,0.725470
HCC2218,BRCA,breast,breast,12.040253,0.726037
HD-MY-Z,UNCLASSIFIED,blood,Hodgkin_lymphoma,8.578909,0.726111
TE-8,ESCA,aero_digestive_tract,oesophagus,9.953998,0.729687
42-MG-BA,GBM,nervous_system,glioma,9.214602,0.729986
EM-2,LCML,blood,chronic_myeloid_leukaemia,10.415054,0.731405
COR-L105,LUAD,lung,lung_NSCLC_adenocarcinoma,12.217964,0.732911
SK-LMS-1,UNCLASSIFIED,soft_tissue,soft_tissue_other,9.010798,0.733683
GI-ME-N,NB,nervous_system,neuroblastoma,11.462570,0.734246
SU-DHL-6,DLBC,blood,B_cell_lymphoma,7.562946,0.734647
LU-65,UNCLASSIFIED,lung,lung_NSCLC_large_cell,12.432906,0.736325
BT-483,BRCA,breast,breast,15.502593,0.739231
HCC2998,COREAD,digestive_system,large_intestine,9.782440,0.740312
MLMA,UNCLASSIFIED,blood,hairy_cell_leukaemia,9.805741,0.741622
MOG-G-UVW,LGG,nervous_system,glioma,9.667539,0.743079
HARA,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,11.293681,0.743989
BPH-1,UNCLASSIFIED,urogenital_system,prostate,11.267428,0.745026
TE-15,ESCA,aero_digestive_tract,oesophagus,11.581539,0.745716
NCI-H358,LUAD,lung,lung_NSCLC_adenocarcinoma,11.402686,0.745818
IST-SL1,SCLC,lung,lung_small_cell_carcinoma,10.655734,0.747204
CAL-85-1,BRCA,breast,breast,13.422429,0.747325
Caov-3,OV,urogenital_system,ovary,9.376149,0.748216
Daoy,MB,nervous_system,medulloblastoma,9.478731,0.748939
IGR-1,SKCM,skin,melanoma,9.584169,0.750440
EW-18,UNCLASSIFIED,bone,ewings_sarcoma,11.360992,0.750712
PCI-38,HNSC,aero_digestive_tract,head_and_neck,10.906794,0.751790
UM-UC-3,BLCA,urogenital_system,bladder,10.114350,0.753304
CCRF-CEM,ALL,blood,lymphoblastic_leukemia,10.298238,0.754678
CHP-212,NB,nervous_system,neuroblastoma,10.856134,0.755988
COLO-800,SKCM,skin,melanoma,10.720449,0.757917
8505C,THCA,thyroid,thyroid,11.562480,0.758607
OACM5-1,ESCA,aero_digestive_tract,oesophagus,12.370555,0.758981
LNCaP-Clone-FGC,PRAD,urogenital_system,prostate,12.626262,0.759142
C-33-A,CESC,urogenital_system,cervix,11.160300,0.759835
EW-3,UNCLASSIFIED,bone,ewings_sarcoma,13.174437,0.760508
U-698-M,UNCLASSIFIED,blood,B_cell_leukemia,12.470141,0.760561
PC-3,PRAD,urogenital_system,prostate,13.468139,0.761190
JVM-3,CLL,blood,lymphoid_neoplasm_other,12.399948,0.761221
NCI-H2135,UNCLASSIFIED,lung,lung_NSCLC_not_specified,11.307577,0.761967
RT-112,BLCA,urogenital_system,bladder,12.379529,0.763050
KYSE-270,ESCA,aero_digestive_tract,oesophagus,10.441380,0.763334
OCI-M1,LAML,blood,acute_myeloid_leukaemia,9.145235,0.763837
FLO-1,ESCA,aero_digestive_tract,oesophagus,17.131365,0.764066
SJSA-1,UNCLASSIFIED,bone,bone_other,13.894638,0.764149
SK-CO-1,COREAD,digestive_system,large_intestine,11.312780,0.764803
NCI-H2110,UNCLASSIFIED,lung,lung_NSCLC_not_specified,12.099754,0.764991
Calu-6,LUAD,lung,lung_NSCLC_adenocarcinoma,13.279206,0.765078
SW48,COREAD,digestive_system,large_intestine,12.492009,0.765434
SK-N-DZ,NB,nervous_system,neuroblastoma,13.746875,0.766082
SW954,UNCLASSIFIED,urogenital_system,urogenital_system_other,11.504292,0.766948
BxPC-3,PAAD,pancreas,pancreas,12.832054,0.767835
NCI-H1876,SCLC,lung,lung_small_cell_carcinoma,12.059152,0.768500
NCI-H1975,LUAD,lung,lung_NSCLC_adenocarcinoma,14.373818,0.769470
TC-71,UNCLASSIFIED,bone,ewings_sarcoma,11.139841,0.769951
DOV13,OV,urogenital_system,ovary,13.693735,0.770135
Daudi,UNCLASSIFIED,blood,Burkitt_lymphoma,11.273067,0.772488
COR-L95,SCLC,lung,lung_small_cell_carcinoma,13.864337,0.773305
MZ7-mel,SKCM,skin,melanoma,13.378291,0.774835
RVH-421,SKCM,skin,melanoma,17.756385,0.775849
HPAC,PAAD,pancreas,pancreas,18.146583,0.776079
CA46,UNCLASSIFIED,blood,Burkitt_lymphoma,13.693116,0.776242
QGP-1,UNCLASSIFIED,pancreas,pancreas,22.479383,0.778078
SK-ES-1,UNCLASSIFIED,bone,ewings_sarcoma,14.019009,0.779000
HT,DLBC,blood,B_cell_lymphoma,12.632196,0.781093
SNU-175,COREAD,digestive_system,large_intestine,12.847348,0.781169
TK,DLBC,blood,B_cell_lymphoma,11.945145,0.781701
SU-DHL-10,DLBC,blood,B_cell_lymphoma,9.717533,0.781774
OPM-2,MM,blood,myeloma,11.058464,0.782513
LCLC-103H,UNCLASSIFIED,lung,lung_NSCLC_large_cell,15.012700,0.782697
HCC2157,BRCA,breast,breast,14.702601,0.786897
RCC-AB,KIRC,kidney,kidney,17.485148,0.788279
B-CPAP,THCA,thyroid,thyroid,12.713279,0.789789
NCI-H1648,LUAD,lung,lung_NSCLC_adenocarcinoma,17.947756,0.791407
SNU-398,LIHC,digestive_system,liver,14.265225,0.792362
T47D,BRCA,breast,breast,23.492153,0.792610
Ca-Ski,CESC,urogenital_system,cervix,16.819542,0.792751
BL-41,UNCLASSIFIED,blood,Burkitt_lymphoma,10.730743,0.792778
TGW,NB,nervous_system,neuroblastoma,12.517452,0.793729
KYSE-150,ESCA,aero_digestive_tract,oesophagus,13.843103,0.794384
PF-382,ALL,blood,lymphoblastic_T_cell_leukaemia,13.540362,0.796199
NCI-H838,LUAD,lung,lung_NSCLC_adenocarcinoma,16.620675,0.797352
CS1,UNCLASSIFIED,bone,bone_other,16.862044,0.798040
SW626,OV,urogenital_system,ovary,19.003017,0.799474
NUGC-4,STAD,digestive_system,stomach,15.635566,0.799518
JHH-2,LIHC,digestive_system,liver,16.538923,0.799591
MN-60,UNCLASSIFIED,blood,B_cell_leukemia,18.349318,0.800435
SBC-5,SCLC,lung,lung_small_cell_carcinoma,12.962241,0.800793
NB7,NB,nervous_system,neuroblastoma,16.593326,0.802269
COLO-679,SKCM,skin,melanoma,18.513410,0.802408
SU-DHL-8,DLBC,blood,B_cell_lymphoma,14.198062,0.802506
SK-OV-3,OV,urogenital_system,ovary,21.614038,0.802815
PC-3_[JPC-3],LUAD,lung,lung_NSCLC_adenocarcinoma,21.515854,0.802844
PC-14,LUAD,lung,lung_NSCLC_adenocarcinoma,15.868472,0.802911
JHH-1,LIHC,digestive_system,liver,16.971301,0.802961
SNU-C1,COREAD,digestive_system,large_intestine,34.507563,0.803959
DMS-273,SCLC,lung,lung_small_cell_carcinoma,17.722436,0.804239
T84,COREAD,digestive_system,large_intestine,17.732322,0.806540
GR-ST,ALL,blood,lymphoblastic_leukemia,24.224422,0.808815
MKN45,STAD,digestive_system,stomach,23.252568,0.809007
IM-95,STAD,digestive_system,stomach,18.196827,0.809355
RPMI-7951,SKCM,skin,melanoma,15.882193,0.809433
LOUCY,ALL,blood,lymphoblastic_T_cell_leukaemia,13.088287,0.810859
GAMG,LGG,nervous_system,glioma,17.487246,0.812109
TOV-112D,OV,urogenital_system,ovary,18.482488,0.812502
Mo-T,UNCLASSIFIED,blood,hairy_cell_leukaemia,20.676184,0.812668
NCI-H747,COREAD,digestive_system,large_intestine,23.384510,0.812998
GI-1,LGG,nervous_system,glioma,15.770175,0.813667
SF539,LGG,nervous_system,glioma,14.995174,0.814519
OV-56,OV,urogenital_system,ovary,16.507616,0.816285
COLO-824,BRCA,breast,breast,19.822098,0.818986
TE-10,ESCA,aero_digestive_tract,oesophagus,19.467122,0.819761
DB,DLBC,blood,B_cell_lymphoma,25.791297,0.820593
WSU-NHL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,16.377609,0.820800
SAS,HNSC,aero_digestive_tract,head_and_neck,20.197437,0.821121
TT2609-C02,THCA,thyroid,thyroid,19.991763,0.821320
NCI-H596,UNCLASSIFIED,lung,lung_NSCLC_adenocarcinoma,26.179446,0.821348
K-562,LCML,blood,chronic_myeloid_leukaemia,19.894493,0.822555
U251,GBM,nervous_system,glioma,17.398041,0.823356
LU-139,SCLC,lung,lung_small_cell_carcinoma,25.431463,0.823741
OVISE,OV,urogenital_system,ovary,29.077601,0.824034
SK-MEL-30,SKCM,skin,melanoma,20.951723,0.824055
LU-134-A,SCLC,lung,lung_small_cell_carcinoma,23.320324,0.824180
NCI-H226,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,18.882928,0.824573
SCC-9,HNSC,aero_digestive_tract,head_and_neck,28.898583,0.825011
RL,DLBC,blood,B_cell_lymphoma,18.385012,0.825079
CAKI-1,KIRC,kidney,kidney,32.715552,0.826825
OVCAR-5,OV,urogenital_system,ovary,25.800485,0.826883
KYSE-410,ESCA,aero_digestive_tract,oesophagus,22.051824,0.827535
BHT-101,THCA,thyroid,thyroid,19.681382,0.827648
A375,SKCM,skin,melanoma,17.177778,0.828489
RT4,BLCA,urogenital_system,bladder,22.005772,0.828631
NCI-H647,UNCLASSIFIED,lung,lung_NSCLC_not_specified,20.873707,0.828654
RERF-GC-1B,STAD,digestive_system,stomach,23.738661,0.830387
CTV-1,LAML,blood,acute_myeloid_leukaemia,15.920360,0.834321
RPMI-2650,HNSC,aero_digestive_tract,head_and_neck,23.633860,0.834628
KYAE-1,ESCA,aero_digestive_tract,oesophagus,21.690575,0.834684
BEN,UNCLASSIFIED,lung,lung_NSCLC_not_specified,26.773559,0.834821
ABC-1,LUAD,lung,lung_NSCLC_adenocarcinoma,26.867302,0.835395
NCI-H187,SCLC,lung,lung_small_cell_carcinoma,23.825529,0.835459
D-423MG,GBM,nervous_system,glioma,23.745570,0.836019
SW982,UNCLASSIFIED,soft_tissue,soft_tissue_other,21.810478,0.836287
SHP-77,SCLC,lung,lung_small_cell_carcinoma,17.851410,0.836407
NCI-H2030,LUAD,lung,lung_NSCLC_adenocarcinoma,24.780148,0.837525
PCI-6A,HNSC,aero_digestive_tract,head_and_neck,20.502532,0.837549
PA-TU-8902,PAAD,pancreas,pancreas,25.093695,0.837599
LU-99A,UNCLASSIFIED,lung,lung_NSCLC_large_cell,23.769947,0.838047
G-361,SKCM,skin,melanoma,20.378479,0.838451
YMB-1-E,BRCA,breast,breast,32.793034,0.839188
NCI-H1915,UNCLASSIFIED,lung,lung_NSCLC_large_cell,22.823152,0.839441
MG-63,UNCLASSIFIED,bone,osteosarcoma,35.314313,0.839493
KY821,LAML,blood,leukemia,20.689171,0.840118
OV-90,OV,urogenital_system,ovary,32.228991,0.840775
SCC-25,HNSC,aero_digestive_tract,head_and_neck,24.394677,0.841320
LK-2,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,22.276569,0.841780
KALS-1,LGG,nervous_system,glioma,40.774985,0.842531
HCC1599,BRCA,breast,breast,23.254694,0.842711
NCI-H1770,UNCLASSIFIED,lung,lung_NSCLC_not_specified,22.066545,0.843316
T24,BLCA,urogenital_system,bladder,24.179970,0.843524
SNU-1040,COREAD,digestive_system,large_intestine,34.730372,0.843888
M059J,GBM,nervous_system,glioma,25.393473,0.844229
MDA-MB-468,BRCA,breast,breast,20.117204,0.844551
NCI-H446,SCLC,lung,lung_small_cell_carcinoma,24.043188,0.844701
KINGS-1,LGG,nervous_system,glioma,37.302381,0.846907
ES3,UNCLASSIFIED,bone,ewings_sarcoma,23.948466,0.847243
IA-LM,UNCLASSIFIED,lung,lung_NSCLC_large_cell,30.380835,0.847555
647-V,BLCA,urogenital_system,bladder,25.246751,0.848037
EJM,MM,blood,lymphoid_neoplasm_other,19.500702,0.848932
MFE-280,UCEC,urogenital_system,endometrium,35.143881,0.849415
SNB75,GBM,nervous_system,glioma,39.615332,0.849955
