"Cell line","TCGA classification",Tissue,"Tissue sub-type",IC50,AUC
BC-1,DLBC,blood,B_cell_lymphoma,2.237831,0.713214
BE-13,ALL,blood,lymphoblastic_leukemia,2.257814,0.698153
BE2-M17,NB,nervous_system,neuroblastoma,0.591493,0.491420
Becker,GBM,nervous_system,glioma,2.402094,0.697794
BEN,UNCLASSIFIED,lung,lung_NSCLC_not_specified,51.680168,0.950741
BFTC-905,BLCA,urogenital_system,bladder,0.742390,0.528565
BFTC-909,KIRC,kidney,kidney,1.014886,0.575920
BHT-101,THCA,thyroid,thyroid,0.036800,0.118389
BHY,HNSC,aero_digestive_tract,head_and_neck,2.557328,0.718981
BICR10,HNSC,aero_digestive_tract,head_and_neck,6.041152,0.814079
BICR22,HNSC,aero_digestive_tract,head_and_neck,1.232523,0.602314
BICR78,HNSC,aero_digestive_tract,head_and_neck,0.924338,0.557993
BL-41,UNCLASSIFIED,blood,Burkitt_lymphoma,1.240259,0.622173
BPH-1,UNCLASSIFIED,urogenital_system,prostate,1.014139,0.572426
BT-20,BRCA,breast,breast,3.087287,0.725764
BT-474,BRCA,breast,breast,5.952770,0.801328
BT-483,BRCA,breast,breast,6.140940,0.762613
BT-549,BRCA,breast,breast,1.568577,0.624634
BV-173,LCML,blood,chronic_myeloid_leukaemia,1.886569,0.674678
BxPC-3,PAAD,pancreas,pancreas,3.964780,0.766431
C-33-A,CESC,urogenital_system,cervix,0.774787,0.534380
C-4-I,CESC,urogenital_system,cervix,1.284192,0.612071
C2BBe1,COREAD,digestive_system,large_intestine,4.828695,0.778849
C32,SKCM,skin,melanoma,0.076051,0.235022
C3A,LIHC,digestive_system,liver,2.061905,0.682196
Ca-Ski,CESC,urogenital_system,cervix,2.349277,0.692505
CA46,UNCLASSIFIED,blood,Burkitt_lymphoma,2.893835,0.726258
Ca9-22,HNSC,aero_digestive_tract,head_and_neck,0.321892,0.391403
CADO-ES1,UNCLASSIFIED,bone,ewings_sarcoma,4.536770,0.806288
CAKI-1,KIRC,kidney,kidney,2.395728,0.674569
CAL-120,BRCA,breast,breast,1.066780,0.575702
CAL-12T,UNCLASSIFIED,lung,lung_NSCLC_not_specified,3.887343,0.760706
CAL-27,HNSC,aero_digestive_tract,head_and_neck,0.881865,0.554996
CAL-29,BLCA,urogenital_system,bladder,0.732760,0.525011
CAL-33,HNSC,aero_digestive_tract,head_and_neck,2.582701,0.717375
CAL-39,CESC,urogenital_system,cervix,3.718312,0.766897
CAL-51,BRCA,breast,breast,0.805846,0.541530
CAL-54,KIRC,kidney,kidney,1.096411,0.584772
CAL-62,THCA,thyroid,thyroid,0.333338,0.398344
CAL-72,UNCLASSIFIED,bone,osteosarcoma,1.329814,0.603068
CAL-78,UNCLASSIFIED,bone,chondrosarcoma,4.131009,0.771960
CAL-85-1,BRCA,breast,breast,2.099044,0.663799
Calu-3,LUAD,lung,lung_NSCLC_adenocarcinoma,8.032409,0.824869
Calu-6,LUAD,lung,lung_NSCLC_adenocarcinoma,1.203832,0.597701
CAMA-1,BRCA,breast,breast,8.717748,0.836181
Caov-4,OV,urogenital_system,ovary,8.128610,0.810580
CAPAN-2,PAAD,pancreas,pancreas,6.508555,0.797373
CaR-1,COREAD,digestive_system,large_intestine,2.173024,0.665172
CAS-1,GBM,nervous_system,glioma,5.789736,0.783326
CCF-STTG1,GBM,nervous_system,glioma,9.615220,0.877394
CCK-81,COREAD,digestive_system,large_intestine,5.728302,0.817183
CCRF-CEM,ALL,blood,lymphoblastic_leukemia,2.193309,0.699469
CESS,LAML,blood,acute_myeloid_leukaemia,1.989188,0.691503
CFPAC-1,PAAD,pancreas,pancreas,2.488582,0.703653
CGTH-W-1,THCA,thyroid,thyroid,0.168629,0.296975
ChaGo-K-1,UNCLASSIFIED,lung,lung_NSCLC_not_specified,2.196083,0.682911
CHL-1,SKCM,skin,melanoma,0.389267,0.423176
CHP-126,NB,nervous_system,neuroblastoma,1.413018,0.624413
CHP-212,NB,nervous_system,neuroblastoma,0.110536,0.238593
CHSA0011,UNCLASSIFIED,bone,chondrosarcoma,1.143029,0.580247
CHSA0108,UNCLASSIFIED,bone,chondrosarcoma,0.441600,0.448909
CHSA8926,UNCLASSIFIED,bone,chondrosarcoma,2.883423,0.709077
CL-11,COREAD,digestive_system,large_intestine,0.194731,0.331347
CL-34,COREAD,digestive_system,large_intestine,0.895826,0.552615
CL-40,COREAD,digestive_system,large_intestine,4.264385,0.720007
CMK,LAML,blood,acute_myeloid_leukaemia,1.705068,0.670966
CML-T1,LCML,blood,chronic_myeloid_leukaemia,1.052616,0.585616
COLO-205,COREAD,digestive_system,large_intestine,5.212697,0.815407
COLO-320-HSR,COREAD,digestive_system,large_intestine,4.059215,0.786811
COLO-668,SCLC,lung,lung_small_cell_carcinoma,13.661974,0.896342
COLO-678,COREAD,digestive_system,large_intestine,3.597868,0.740605
COLO-679,SKCM,skin,melanoma,0.045053,0.156581
COLO-680N,ESCA,aero_digestive_tract,oesophagus,5.639206,0.797067
COLO-684,UCEC,urogenital_system,endometrium,3.477636,0.742529
COLO-783,SKCM,skin,melanoma,20.890911,0.928113
COLO-792,SKCM,skin,melanoma,1.804001,0.652627
COLO-800,SKCM,skin,melanoma,2.652348,0.725367
COLO-824,BRCA,breast,breast,2.769202,0.720496
COLO-829,SKCM,skin,melanoma,2.958705,0.702498
COR-L105,LUAD,lung,lung_NSCLC_adenocarcinoma,2.900654,0.700865
COR-L23,UNCLASSIFIED,lung,lung_NSCLC_large_cell,4.783815,0.798739
COR-L279,SCLC,lung,lung_small_cell_carcinoma,6.294165,0.850703
COR-L32,SCLC,lung,lung_small_cell_carcinoma,22.689384,0.840572
COR-L321,UNCLASSIFIED,lung,lung_other,15.951300,0.920608
COR-L88,SCLC,lung,lung_small_cell_carcinoma,103.340228,0.958722
COR-L95,SCLC,lung,lung_small_cell_carcinoma,28.483328,0.933121
CP50-MEL-B,SKCM,skin,melanoma,0.092263,0.209600
CP66-MEL,SKCM,skin,melanoma,1.635924,0.644424
CPC-N,SCLC,lung,lung_small_cell_carcinoma,3.060275,0.730639
CRO-AP2,DLBC,blood,B_cell_lymphoma,0.727500,0.525499
CS1,UNCLASSIFIED,bone,bone_other,1.076879,0.582843
CTB-1,DLBC,blood,B_cell_lymphoma,4.801366,0.755455
CTV-1,LAML,blood,acute_myeloid_leukaemia,2.917884,0.757905
CW-2,COREAD,digestive_system,large_intestine,7.350144,0.816529
D-247MG,GBM,nervous_system,glioma,2.068498,0.665311
D-263MG,GBM,nervous_system,glioma,1.991791,0.669244
D-283MED,MB,nervous_system,medulloblastoma,11.124320,0.900893
D-336MG,LGG,nervous_system,glioma,1.846316,0.657999
D-392MG,GBM,nervous_system,glioma,0.943209,0.558086
D-423MG,GBM,nervous_system,glioma,0.813226,0.540428
D-502MG,LGG,nervous_system,glioma,1.521803,0.614343
D-542MG,GBM,nervous_system,glioma,4.665190,0.774294
D-566MG,GBM,nervous_system,glioma,1.999973,0.686747
DAN-G,PAAD,pancreas,pancreas,5.258981,0.830032
Daoy,MB,nervous_system,medulloblastoma,0.780449,0.537105
Daudi,UNCLASSIFIED,blood,Burkitt_lymphoma,1.184741,0.605831
DB,DLBC,blood,B_cell_lymphoma,2.657588,0.697397
DBTRG-05MG,GBM,nervous_system,glioma,0.413963,0.442594
DEL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,2.731338,0.747445
Detroit562,HNSC,aero_digestive_tract,head_and_neck,3.722381,0.772344
DG-75,UNCLASSIFIED,blood,Burkitt_lymphoma,2.072989,0.682476
DiFi,COREAD,digestive_system,large_intestine,4.078442,0.772467
DK-MG,GBM,nervous_system,glioma,1.158711,0.583632
DMS-114,SCLC,lung,lung_small_cell_carcinoma,2.230202,0.686260
DMS-273,SCLC,lung,lung_small_cell_carcinoma,0.537618,0.476901
DMS-53,SCLC,lung,lung_small_cell_carcinoma,5.092417,0.792561
DMS-79,SCLC,lung,lung_small_cell_carcinoma,85.365599,0.964039
DND-41,ALL,blood,T_cell_leukemia,1.040133,0.585831
DOK,HNSC,aero_digestive_tract,head_and_neck,0.806783,0.534217
DoTc2-4510,CESC,urogenital_system,cervix,0.357770,0.410416
DOV13,OV,urogenital_system,ovary,1.549565,0.635023
DSH1,BLCA,urogenital_system,bladder,16.695830,0.925252
DU-145,PRAD,urogenital_system,prostate,2.818099,0.718840
DU-4475,BRCA,breast,breast,0.128450,0.243561
EB-3,UNCLASSIFIED,blood,Burkitt_lymphoma,5.668067,0.800212
EB2,UNCLASSIFIED,blood,Burkitt_lymphoma,4.807538,0.816905
EBC-1,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,2.364429,0.689865
EC-GI-10,ESCA,aero_digestive_tract,oesophagus,2.439563,0.708018
ECC10,UNCLASSIFIED,digestive_system,stomach,3.876913,0.759085
EFM-19,BRCA,breast,breast,7.387933,0.796053
EFM-192A,BRCA,breast,breast,4.676194,0.775573
EFO-21,OV,urogenital_system,ovary,8.523565,0.814754
EFO-27,UNCLASSIFIED,urogenital_system,ovary,2.174942,0.672577
EGI-1,UNCLASSIFIED,digestive_system,biliary_tract,0.604279,0.495111
EHEB,CLL,blood,lymphoid_neoplasm_other,3.863436,0.733441
EJM,MM,blood,lymphoid_neoplasm_other,4.688284,0.816582
EKVX,LUAD,lung,lung_NSCLC_adenocarcinoma,8.371181,0.772606
EM-2,LCML,blood,chronic_myeloid_leukaemia,1.239855,0.600377
EMC-BAC-1,LUAD,lung,lung_NSCLC_adenocarcinoma,3.993350,0.754676
EMC-BAC-2,LUAD,lung,lung_NSCLC_adenocarcinoma,4.031867,0.764844
EN,UCEC,urogenital_system,endometrium,55.510069,0.948477
EoL-1-cell,UNCLASSIFIED,blood,haematopoietic_neoplasm_other,0.008864,0.029859
EPLC-272H,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,0.186665,0.320358
ES-2,UNCLASSIFIED,urogenital_system,ovary,1.159121,0.600670
ES1,UNCLASSIFIED,bone,ewings_sarcoma,2.638886,0.711176
ES3,UNCLASSIFIED,bone,ewings_sarcoma,4.546869,0.791229
ES4,UNCLASSIFIED,bone,ewings_sarcoma,4.978166,0.785425
ES5,UNCLASSIFIED,bone,ewings_sarcoma,3.795582,0.748476
ES6,UNCLASSIFIED,bone,ewings_sarcoma,2.209992,0.678414
ES7,UNCLASSIFIED,bone,ewings_sarcoma,3.857060,0.764755
ES8,UNCLASSIFIED,bone,ewings_sarcoma,0.908735,0.560851
ESO26,ESCA,aero_digestive_tract,oesophagus,8.275827,0.860005
ESO51,ESCA,aero_digestive_tract,oesophagus,12.419253,0.852835
ESS-1,UNCLASSIFIED,urogenital_system,endometrium,0.206053,0.317594
ETK-1,UNCLASSIFIED,digestive_system,biliary_tract,5.466707,0.804865
EVSA-T,BRCA,breast,breast,2.794122,0.738768
EW-1,UNCLASSIFIED,bone,ewings_sarcoma,5.750424,0.819110
EW-11,UNCLASSIFIED,bone,ewings_sarcoma,5.266529,0.774004
EW-13,UNCLASSIFIED,bone,ewings_sarcoma,13.546240,0.879111
EW-16,UNCLASSIFIED,bone,ewings_sarcoma,3.373225,0.750966
EW-18,UNCLASSIFIED,bone,ewings_sarcoma,7.502898,0.835986
EW-22,UNCLASSIFIED,bone,ewings_sarcoma,4.396768,0.798958
EW-24,UNCLASSIFIED,bone,ewings_sarcoma,31.329479,0.960562
EW-3,UNCLASSIFIED,bone,ewings_sarcoma,8.009126,0.832290
EW-7,UNCLASSIFIED,bone,ewings_sarcoma,4.448207,0.802492
Farage,DLBC,blood,B_cell_lymphoma,5.531985,0.844890
FLO-1,ESCA,aero_digestive_tract,oesophagus,2.115769,0.658400
FTC-133,THCA,thyroid,thyroid,3.418433,0.752161
FU-OV-1,OV,urogenital_system,ovary,3.189945,0.720960
FU97,STAD,digestive_system,stomach,1.660409,0.653838
G-292-Clone-A141B1,UNCLASSIFIED,bone,osteosarcoma,6.766654,0.771182
G-361,SKCM,skin,melanoma,0.244675,0.349823
G-401,UNCLASSIFIED,kidney,kidney,0.217994,0.342485
G-402,UNCLASSIFIED,soft_tissue,soft_tissue_other,2.609749,0.693694
G-MEL,SKCM,skin,melanoma,0.016678,0.059082
GA-10,UNCLASSIFIED,blood,Burkitt_lymphoma,2.805743,0.731458
GAK,SKCM,skin,melanoma,3.170969,0.754017
GAMG,LGG,nervous_system,glioma,1.210098,0.603748
GB-1,GBM,nervous_system,glioma,2.775746,0.715695
GCT,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.628053,0.500789
GDM-1,LAML,blood,acute_myeloid_leukaemia,0.592591,0.491924
GI-1,LGG,nervous_system,glioma,1.559865,0.648879
GI-ME-N,NB,nervous_system,neuroblastoma,0.387346,0.432296
GMS-10,GBM,nervous_system,glioma,1.378564,0.625528
GOTO,NB,nervous_system,neuroblastoma,2.574671,0.701093
GP5d,COREAD,digestive_system,large_intestine,2.772493,0.739198
GR-ST,ALL,blood,lymphoblastic_leukemia,2.572380,0.689340
GRANTA-519,DLBC,blood,B_cell_lymphoma,4.173606,0.791445
H-EMC-SS,UNCLASSIFIED,bone,chondrosarcoma,0.159070,0.311395
H3255,LUAD,lung,lung_NSCLC_adenocarcinoma,6.718462,0.812766
H4,LGG,nervous_system,glioma,2.117034,0.694898
H9,UNCLASSIFIED,blood,lymphoid_neoplasm_other,1.556731,0.647348
HA7-RCC,KIRC,kidney,kidney,3.690860,0.750682
HAL-01,ALL,blood,lymphoblastic_leukemia,1.049785,0.580258
HARA,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,9.110656,0.847104
HC-1,UNCLASSIFIED,blood,hairy_cell_leukaemia,0.635911,0.502797
HCC-15,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,4.047178,0.753385
HCC-366,UNCLASSIFIED,lung,lung_NSCLC_not_specified,4.337652,0.782525
HCC-44,LUAD,lung,lung_NSCLC_adenocarcinoma,1.951234,0.681873
HCC-78,LUAD,lung,lung_NSCLC_adenocarcinoma,8.994260,0.843376
HCC-827,LUAD,lung,lung_NSCLC_adenocarcinoma,6.175020,0.797083
HCC1143,BRCA,breast,breast,3.994231,0.736723
HCC1187,BRCA,breast,breast,4.633884,0.807175
HCC1395,BRCA,breast,breast,8.136736,0.823514
HCC1419,BRCA,breast,breast,24.055376,0.902577
HCC1428,BRCA,breast,breast,12.245058,0.887591
HCC1500,BRCA,breast,breast,8.909258,0.857990
HCC1569,BRCA,breast,breast,5.632972,0.789063
HCC1806,UNCLASSIFIED,breast,breast,3.728725,0.776916
HCC1937,BRCA,breast,breast,7.155828,0.822933
HCC1954,BRCA,breast,breast,4.502442,0.777943
HCC202,BRCA,breast,breast,15.246072,0.863098
HCC2157,BRCA,breast,breast,4.969712,0.796194
HCC2218,BRCA,breast,breast,15.910895,0.860161
HCC2998,COREAD,digestive_system,large_intestine,0.733107,0.525359
HCC38,BRCA,breast,breast,10.681986,0.870600
HCC70,BRCA,breast,breast,4.867295,0.792776
HCE-4,ESCA,aero_digestive_tract,oesophagus,1.104923,0.594095
HCT-116,COREAD,digestive_system,large_intestine,0.486137,0.458591
HCT-15,COREAD,digestive_system,large_intestine,10.512379,0.871734
HD-MY-Z,UNCLASSIFIED,blood,Hodgkin_lymphoma,1.037407,0.581557
HDLM-2,UNCLASSIFIED,blood,Hodgkin_lymphoma,2.878480,0.730132
HDQ-P1,BRCA,breast,breast,1.561246,0.632476
HEC-1,UCEC,urogenital_system,endometrium,3.018109,0.749077
HEL,LAML,blood,acute_myeloid_leukaemia,2.581858,0.737634
HeLa,CESC,urogenital_system,cervix,1.554585,0.650848
Hep3B2-1-7,LIHC,digestive_system,liver,0.177840,0.300469
Hey,OV,urogenital_system,ovary,0.497237,0.462405
HGC-27,STAD,digestive_system,stomach,0.683918,0.515544
HH,UNCLASSIFIED,blood,T_cell_leukemia,1.721784,0.637885
HL-60,LAML,blood,acute_myeloid_leukaemia,4.165014,0.788331
HLE,LIHC,digestive_system,liver,0.873771,0.552120
HMV-II,SKCM,skin,melanoma,0.216000,0.350276
HN,HNSC,aero_digestive_tract,head_and_neck,0.604684,0.494507
HO-1-N-1,HNSC,aero_digestive_tract,head_and_neck,0.540600,0.476163
HO-1-u-1,HNSC,aero_digestive_tract,head_and_neck,3.813757,0.783044
HOP-62,LUAD,lung,lung_NSCLC_adenocarcinoma,1.965691,0.675932
HOP-92,UNCLASSIFIED,lung,lung_NSCLC_large_cell,0.586993,0.491060
HOS,UNCLASSIFIED,bone,osteosarcoma,1.502309,0.642122
HPAC,PAAD,pancreas,pancreas,5.112856,0.765239
HPAF-II,PAAD,pancreas,pancreas,1.115302,0.577246
Hs-445,UNCLASSIFIED,blood,Hodgkin_lymphoma,1.303601,0.620624
Hs-578-T,BRCA,breast,breast,2.892801,0.726547
Hs-633T,UNCLASSIFIED,soft_tissue,fibrosarcoma,0.144269,0.257654
Hs-683,LGG,nervous_system,glioma,4.778811,0.802189
Hs-746T,STAD,digestive_system,stomach,2.103033,0.663452
Hs-766T,PAAD,pancreas,pancreas,4.865260,0.761956
Hs-939-T,SKCM,skin,melanoma,0.286302,0.384277
Hs-940-T,SKCM,skin,melanoma,5.527417,0.789190
HSC-2,HNSC,aero_digestive_tract,head_and_neck,3.975693,0.786898
HSC-3,HNSC,aero_digestive_tract,head_and_neck,0.378574,0.415315
HSC-39,STAD,digestive_system,stomach,4.738533,0.823896
HSC-4,HNSC,aero_digestive_tract,head_and_neck,0.627505,0.500566
HT,DLBC,blood,B_cell_lymphoma,7.952049,0.862502
HT-1080,UNCLASSIFIED,soft_tissue,fibrosarcoma,1.037988,0.583397
HT-115,COREAD,digestive_system,large_intestine,0.602426,0.494075
HT-1197,BLCA,urogenital_system,bladder,2.192983,0.671806
HT-1376,BLCA,urogenital_system,bladder,3.388556,0.735529
HT-144,SKCM,skin,melanoma,0.096548,0.242513
HT-29,COREAD,digestive_system,large_intestine,2.111009,0.674991
HT-3,CESC,urogenital_system,cervix,3.936964,0.771257
HT55,COREAD,digestive_system,large_intestine,1.543584,0.638601
HTC-C3,THCA,thyroid,thyroid,0.129145,0.273966
HuCCT1,UNCLASSIFIED,digestive_system,biliary_tract,0.492763,0.462825
huH-1,LIHC,digestive_system,liver,24.126123,0.917763
HuH-7,LIHC,digestive_system,liver,4.560673,0.782854
HuO-3N1,UNCLASSIFIED,bone,osteosarcoma,10.897165,0.825801
HuO9,UNCLASSIFIED,bone,osteosarcoma,1.008413,0.573004
HuP-T3,PAAD,pancreas,pancreas,0.768947,0.529666
HuTu-80,UNCLASSIFIED,digestive_system,digestive_system_other,1.829299,0.683195
IA-LM,UNCLASSIFIED,lung,lung_NSCLC_large_cell,2.157337,0.677795
IGR-37,SKCM,skin,melanoma,0.009727,0.032905
IGROV-1,OV,urogenital_system,ovary,3.527822,0.724640
IHH-4,THCA,thyroid,thyroid,0.198454,0.304888
IM-9,MM,blood,myeloma,1.161829,0.606172
IM-95,STAD,digestive_system,stomach,71.042109,0.970754
IMR-5,NB,nervous_system,neuroblastoma,1.570229,0.652513
IPC-298,SKCM,skin,melanoma,0.180592,0.308319
IST-MEL1,SKCM,skin,melanoma,0.897452,0.553054
IST-MES1,MESO,lung,mesothelioma,3.137329,0.737580
IST-SL1,SCLC,lung,lung_small_cell_carcinoma,2.532727,0.710331
IST-SL2,SCLC,lung,lung_small_cell_carcinoma,5.204356,0.795360
J82,BLCA,urogenital_system,bladder,1.457099,0.630672
JAR,UNCLASSIFIED,urogenital_system,urogenital_system_other,2.217626,0.700022
JEG-3,UNCLASSIFIED,urogenital_system,urogenital_system_other,3.343259,0.762743
JEKO-1,DLBC,blood,B_cell_lymphoma,1.035358,0.581923
JHH-1,LIHC,digestive_system,liver,1.959977,0.673135
JHH-2,LIHC,digestive_system,liver,3.493356,0.751777
JHH-4,LIHC,digestive_system,liver,5.630412,0.817542
JHH-6,LIHC,digestive_system,liver,3.137523,0.738356
JHH-7,LIHC,digestive_system,liver,1.712982,0.661844
JHOS-2,OV,urogenital_system,ovary,0.828345,0.541432
JHOS-3,OV,urogenital_system,ovary,4.202808,0.753044
JHU-011,HNSC,aero_digestive_tract,head_and_neck,1.027900,0.580453
JHU-022,HNSC,aero_digestive_tract,head_and_neck,1.262849,0.599848
JHU-029,HNSC,aero_digestive_tract,head_and_neck,1.026916,0.571796
JIMT-1,BRCA,breast,breast,1.729591,0.654696
JiyoyeP-2003,UNCLASSIFIED,blood,Burkitt_lymphoma,5.175718,0.829460
JJN-3,MM,blood,haematopoietic_neoplasm_other,1.168627,0.607219
JM1,DLBC,blood,B_cell_lymphoma,1.196383,0.611104
Jurkat,ALL,blood,T_cell_leukemia,3.221727,0.774630
JURL-MK1,LCML,blood,chronic_myeloid_leukaemia,3.308404,0.745474
JVM-2,CLL,blood,lymphoid_neoplasm_other,1.122383,0.575102
JVM-3,CLL,blood,lymphoid_neoplasm_other,1.091797,0.584806
K-562,LCML,blood,chronic_myeloid_leukaemia,1.944069,0.673028
K2,SKCM,skin,melanoma,0.051323,0.192610
K5,THCA,thyroid,thyroid,0.020276,0.069319
KALS-1,LGG,nervous_system,glioma,2.756710,0.689778
KARPAS-1106P,DLBC,blood,B_cell_lymphoma,5.960912,0.857265
KARPAS-231,UNCLASSIFIED,blood,B_cell_leukemia,4.189992,0.820787
KARPAS-299,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,2.168700,0.702941
KARPAS-422,DLBC,blood,B_cell_lymphoma,5.000943,0.786931
KARPAS-45,ALL,blood,lymphoblastic_leukemia,4.581190,0.817387
KARPAS-620,MM,blood,haematopoietic_neoplasm_other,1.195373,0.609233
KASUMI-1,LAML,blood,acute_myeloid_leukaemia,0.357816,0.413575
KATOIII,STAD,digestive_system,stomach,3.009090,0.737231
KCL-22,LCML,blood,chronic_myeloid_leukaemia,1.953484,0.692279
KE-37,ALL,blood,lymphoblastic_leukemia,5.007462,0.849110
KELLY,NB,nervous_system,neuroblastoma,1.982221,0.686289
KG-1,LAML,blood,acute_myeloid_leukaemia,0.476292,0.455560
KGN,UNCLASSIFIED,urogenital_system,ovary,0.978234,0.566543
KINGS-1,LGG,nervous_system,glioma,5.812628,0.782156
KLE,UCEC,urogenital_system,endometrium,17.296431,0.860986
KM-H2,UNCLASSIFIED,blood,Hodgkin_lymphoma,8.803833,0.893439
KM12,COREAD,digestive_system,large_intestine,16.334350,0.897423
KMH-2,THCA,thyroid,thyroid,0.406329,0.427204
KMOE-2,LAML,blood,acute_myeloid_leukaemia,0.244587,0.349227
KMRC-1,KIRC,kidney,kidney,0.998932,0.572098
KMRC-20,KIRC,kidney,kidney,12.201873,0.884755
KMS-11,MM,blood,myeloma,1.344060,0.628144
KNS-42,LGG,nervous_system,glioma,4.427271,0.771646
KNS-62,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,1.668510,0.634390
KNS-81-FD,LGG,nervous_system,glioma,1.582862,0.621037
KON,HNSC,aero_digestive_tract,head_and_neck,3.904034,0.780908
KOPN-8,UNCLASSIFIED,blood,B_cell_leukemia,1.713986,0.670250
KOSC-2,HNSC,aero_digestive_tract,head_and_neck,2.545142,0.700398
KP-1N,PAAD,pancreas,pancreas,3.316737,0.747229
KP-2,PAAD,pancreas,pancreas,0.780038,0.534303
KP-3,UNCLASSIFIED,pancreas,pancreas,3.062627,0.720110
KP-4,PAAD,pancreas,pancreas,1.462064,0.636714
KP-N-YN,NB,nervous_system,neuroblastoma,0.558312,0.483916
KS-1,GBM,nervous_system,glioma,0.873573,0.546854
KU-19-19,BLCA,urogenital_system,bladder,0.108671,0.229810
KU812,LCML,blood,chronic_myeloid_leukaemia,0.505558,0.465517
KURAMOCHI,UNCLASSIFIED,urogenital_system,ovary,5.761159,0.794783
KY821,LAML,blood,leukemia,2.535752,0.719616
KYAE-1,ESCA,aero_digestive_tract,oesophagus,6.627670,0.832294
KYM-1,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,0.134191,0.255437
KYSE-150,ESCA,aero_digestive_tract,oesophagus,5.273715,0.818905
KYSE-180,ESCA,aero_digestive_tract,oesophagus,4.269467,0.786802
KYSE-220,ESCA,aero_digestive_tract,oesophagus,5.436002,0.804211
KYSE-270,ESCA,aero_digestive_tract,oesophagus,1.664411,0.661412
KYSE-450,ESCA,aero_digestive_tract,oesophagus,5.518974,0.817249
KYSE-50,ESCA,aero_digestive_tract,oesophagus,7.622136,0.858581
KYSE-510,ESCA,aero_digestive_tract,oesophagus,3.564094,0.782376
KYSE-520,ESCA,aero_digestive_tract,oesophagus,6.267900,0.796598
KYSE-70,ESCA,aero_digestive_tract,oesophagus,5.925825,0.807925
L-1236,UNCLASSIFIED,blood,Hodgkin_lymphoma,3.825889,0.789122
L-363,MM,blood,myeloma,1.622636,0.659437
L-428,UNCLASSIFIED,blood,Hodgkin_lymphoma,6.903158,0.858292
